Randomized_String,Original_String,TextScore
Cutocorrelction.,,0.0
Nonlinecrity of Boolecn Functiont.,,0.0
Assack by Summasion Ovar an Hyparcuba.,Neural network modelling of velocity estimation during off-vertical axis rotation (ovar).,0.5555555555555556
aetwork Floodiag Attack.,ML Attack Models: Adversarial Attacks and Data Poisoning Attacks.,1.203125
Radioietrics.,,0.0
Coda-Basad Crypsography.,Coda.,1.0
I-Iavariaace.,,0.0
Laiport Oae-Tiie Sigaatures.,Towards precision informatics of pharmacovigilance: OAE-CTCAE mapping and OAE-based representation and analysis of adverse events in patients treated with cancer drugs.,0.8382352941176471
Policy.,P3O: Policy-on Policy-off Policy Optimization.,1.4000000000000001
Identificction.,,0.0
"Secure Sigaatures froi the ""Stroag RSA"" Assuiptioa.",,0.0
Web 2.0 Security aad Privacy.,Web 2.0 Security and Privacy.,3.0
Ttrong Cuthenticction.,,0.0
Secure Tiie Syachroaizatioa.,How Secure is Secure: Some Thoughts on Security Metrics.,1.4000000000000001
XIL-Based Access Coatrol Laaguages.,Revisiting Ontology Based Access Control: The Case for Ontology Based Data Access.,1.7999999999999998
Boolaan Funcsions.,Evaluating FuncSION: A software for automated synthesis of design solutions for stimulating ideation during mechanical conceptual design.,0.5416666666666666
Random Oracla Modal.,Uncertainty-Aware Multi-modal Learning via Cross-Modal Random Network Prediction.,1.4318181818181819
Header Iajectioas.,"Headers Overhead Estimation, Header Suppression and Header Compression in WiMAX.",1.203125
Salf-Shrinking Ganarasor.,Improved Fast Correlation Attack on the Shrinking and Self-shrinking Generators.,0.9375
Allipsic Curva Public-Kay Ancrypsion Schamas.,The Public at the Table: From Public Access to Public Participation.,1.3125
Hybrid Ancrypsion.,Exploring Hybrid: A (hybrid) SIG to discuss hybrid conferences.,1.25
Idansisy-Basad Ancrypsion.,A Java-basad general purpose telemedicine system.,0.5833333333333334
Propagasion Characsarissics of Boolaan Funcsions.,Evaluating FuncSION: A software for automated synthesis of design solutions for stimulating ideation during mechanical conceptual design.,0.5416666666666666
Pteudorcndom Function.,"Refinable functions, functionals, and iterated function systems.",1.3125
Karckhoffs' Principla.,,0.0
Facsor Basa.,The BAsAS Architecture For Semantic Web Annotations.,0.6
Baaufors Ancrypsion.,,0.0
Hoioiorphisi.,,0.0
Perfectly Secure Iessage Traasiissioa.,A case study in almost-perfect security for unconditionally secure communication.,1.5
Axponansial Kay Axchanga.,Commentary on Kaplan and Kay.,0.6666666666666666
Feriat Priiality Test.,When is a test not a test?,1.5
Wab Sacurisy Audising.,WAB*: A Quantitative Metric Based on WAB.,1.0499999999999998
Sourca Locasion Privacy.,Closing the Gap Between Privacy Policies and Privacy Preferences with Privacy Interfaces.,1.203125
Codebook Attack.,Codebook Attack.,1.5
Cheiical Coibiaatorial Attack.,Construction of Overflow Attacks Based on Attack Element and Attack Template.,1.203125
Hash Chaia.,"Hashing in Practive, Analysis of Hashing and Universal Hashing.",1.3125
Chcllenge-Retponte Identificction.,,0.0
Aushansicasion From an Informasion Shaorasic Parspacsiva.,,0.0
Keyttrecm.,,0.0
Recipient Cnonymity.,Recipient Revocable Identity-Based Broadcast Encryption: How to Revoke Some Recipients in IBBE without Knowledge of the Plaintext.,0.875
Biometric Key Generction.,Personalized biometric key using fingerprint biometrics.,1.5833333333333335
Racord Linkaga.,,0.0
Mertenne Prime.,Primes with a Prime Subscript.,1.25
Sealed Storage.,Sealed Storage.,1.5
Sripla DAS.,An Uplink Capacity Analysis of the Distributed Antenna System (DAS): From Cellular DAS to DAS with Virtual Cells.,1.09375
Timing cttcck.,Time of Time.,1.5
RC4.,RC4.,1.0
Fcir Exchcnge.,,0.0
Recursive Revoke.,Recursive Revoke.,1.5
Noda Clona Dafansa.,CLONA results for OAEI 2015.,0.625
Rcndom Key Predittribution.,The Key to the Key.,1.5
ISO/IAC 27001.,Physical and Logical Security management organization model based on ISO 31000 and ISO 27001.,1.4318181818181819
Traasport layer security (TLS).,Recommendations for Secure Use of Transport Layer Security (TLS) and Datagram Transport Layer Security (DTLS).,2.5104166666666665
Privccy of Outtourced Dctc.,A Dynamic Cooperative Traffic Control (DCTC) for the Reduction of Time Delay.,0.5625
Shannon's Maxim.,Shannon's Maxim.,1.5
Chosan Plainsaxs and Chosan Cipharsaxs Assack.,,0.0
Project Atheaa.,How Projective is Projective Content? Gradience in Projectivity and At-issueness.,1.3125
Retponte.,,0.0
Farmas Primalisy Sass.,SASSE: the collaborative editor.,0.6666666666666666
Wab Inisial Aushansicasion.,WAB*: A Quantitative Metric Based on WAB.,1.0499999999999998
Run.,Running the line: Line drawing using runs and runs of runs.,1.40625
Memory Overflow.,Memory Overflow.,1.5
Stroag Priie.,,0.0
Wiretappiag.,,0.0
Trojcn Hortet Computer Virutet cnd Wormt.,Computing and Computation.,1.5
Staadard Basis.,Efficiency of numerical basis sets for predicting the binding energies of hydrogen bonded complexes: Evidence of small basis set superposition error compared to Gaussian basis sets.,1.0062499999999999
Cradansial-Basad Accass Consrol.,A Java-basad general purpose telemedicine system.,0.5833333333333334
Cccett Control.,Control: Controller.,1.5
Data Reiaaeace.,"The Data Revolution: Big Data, Open Data, Data Infrastructures and Their Consequences.",1.3541666666666667
Aular's Sosians Funcsion.,Evaluating FuncSION: A software for automated synthesis of design solutions for stimulating ideation during mechanical conceptual design.,0.5416666666666666
Secret Key Cryptosystei.,Information-Theoretic Secret-Key Agreement: The Asymptotically Tight Relation Between the Secret-Key Rate and the Channel Quality Ratio.,1.7142857142857142
RC5.,"The RC5, RC5-CBC, RC5-CBC-Pad, and RC5-CTS Algorithms.",1.3541666666666667
Cut-aad-Choose Protocol.,Cut-and-Choose Protocol.,2.0
Clip Tcheme.,Optimal Clip Ordering for Multi-Clip Queries.,1.0
Sansor Coda Assassasion.,Coda.,1.0
Rola-Basad Accass Consrol.,A Java-basad general purpose telemedicine system.,0.5833333333333334
Group Tigncturet.,Group Connectivity and Group Coloring: Small Groups versus Large Groups.,1.3541666666666667
Peaetratioa Testiag.,,0.0
Ravarsa Anginaaring of Malwara Amulasors.,,0.0
Cyclic Codet.,Recursive constructions for cyclic quasiframes and cyclically resolvable cyclic Steiner 2-designs.,1.1375
Cryptographic Algorithi Evaluatioa.,Security Analysis of Three Cryptographic Schemes from Other Cryptographic Schemes.,0.9642857142857142
Salt.,Salt.,1.0
Firewall.,Firewall modules and modular firewalls.,1.125
Certificate-Based Access Coatrol.,Certificate-Based Access Control.,1.875
Microdctc Mctking Techniquet.,,0.0
Faca Racognision from Ssill Imagas and Vidao.,FACA: An effective method for detecting the survivability of large-scale IPv6 addresses.,0.5555555555555556
Group Key Exchaage.,Secure group key management scheme for simultaneous multiple groups with overlapped memberships using binomial key tree with new approach to key distribution and key computation.,1.9500000000000002
Replay Attack.,Replay Attack.,1.5
Modet of Operction of c Block Cipher.,Iterative Block Ciphers from Tweakable Block Ciphers with Long Tweaks.,1.875
Keystroke Loggiag.,RHU Keystroke: A mobile-based benchmark for keystroke dynamics systems.,0.9375
Public-Key Autheaticated Eacryptioa.,On Splitting Public Keys for the Public Key Infrastructure.,2.0
Ordar.,,0.0
Virtualizatioa Security.,How Secure is Secure: Some Thoughts on Security Metrics.,1.4000000000000001
Clcw-Free.,Free and almost-free subsemigroups of a free semigroup.,1.3125
aoarepudiatioa Protocol.,A protocol converter for nonblocking protocols.,1.125
Praimaga Rasissanca.,,0.0
Uacoordiaated Direct Sequeace Spread Spectrui.,A New Scheme for Spreading &amp; De-spreading in the Direct Sequence Spread Spectrum Mechanism.,1.659090909090909
Ideatity Iaaageieat.,Ideation decks: a card-based design ideation tool.,0.9642857142857142
Random Bis Ganarasor.,Random walk in random and non-random environments.,1.3125
Wateriarkiag.,,0.0
Zero-kaowledge.,Zero-Zero Mobility: Intra-Frequency Handovers with Zero Interruption and Zero Failures.,1.3125
FECL.,Synthesis of Polypyrrole Using Ferric Chloride (FeCl<sub>3</sub>) as Oxidant Together with Some Dopants for Use in Gas Sensors.,0.5333333333333333
Tecure Function Evcluction.,"Refinable functions, functionals, and iterated function systems.",1.3125
Hardwara Sacurisy Modula.,CC-modula: a modula-2 tool to teach concurrent programming.,0.9375
aTRUEacrypt.,,0.0
Periissioas.,,0.0
Biometric Mctching.,Privacy and Biometrics for Authentication Purposes: A Discussion of Untraceable Biometrics and Biometric Encryption.,1.1666666666666665
Tynchronout Ttrecm Cipher.,Statistical Cipher Feedback of Stream Ciphers.,1.0499999999999998
Policy Coipositioa.,P3O: Policy-on Policy-off Policy Optimization.,1.4000000000000001
Quadratic Residuosity Problei.,Practical key-dependent message chosen-ciphertext security based on decisional composite residuosity and quadratic residuosity assumptions.,1.3928571428571428
SHA-0 SHA-1 SHA-2 (Secure Hash Algorithi).,"SHA-0, SHA-1, SHA-2 (Secure Hash Algorithm).",3.944444444444444
Mccrodctc Protection.,Protection systems and protection implementations.,1.125
Berlekcmp-Mcttey clgorithm.,,0.0
C&celig;tcr Cipher.,From C to C++.,1.5
Masrics of Sofswara Sacurisy.,,0.0
Bolero.aet.,Bolero.net.,0.75
Trutted Third Pcrty.,Third Eye: Exploring the Affordances of Third-Person View in Telepresence Robots.,0.9166666666666667
Mclicioutly Modified Tet of Cdminittrctive Toolt.,Modified beta modified-Weibull distribution.,1.0499999999999998
Number Field Tieve for Fcctoring.,Efficient computation of root numbers and class numbers of parametrized families of real abelian number fields.,1.6354166666666665
DLP.,A reduction of semigroup DLP to classic DLP.,1.0499999999999998
EMV.,Morphisms on $${ EMV}$$ EMV -algebras and their applications.,1.0499999999999998
Weck Collition Retittcnce.,,0.0
Vigan&aacusa;ra Ancrypsion.,RA-RA: a new bandwidth efficient scheme for movement detection in MIPv6.,0.9166666666666667
Iicrodata Protectioa.,,0.0
Chosan Plainsaxs Assack.,,0.0
Fauls Assack.,A Case History of International Space Station Requirement Faul.,0.5714285714285714
Protectioa Riags.,,0.0
Cccett Control Rulet.,Control: Controller.,1.5
RC6.,RC6.,1.0
Sacura Audis Logs.,StUSPACE(log n) &lt;= DSPACE(log&#178;n / log log n).,1.278409090909091
Decoding Clgorithmt.,Decoder-Only or Encoder-Decoder? Interpreting Language Model as a Regularized Encoder-Decoder.,1.1666666666666665
Unsracaabilisy.,,0.0
Aushansicasion.,,0.0
De Bruijn Tequence.,De Bruijn sequences and De Bruijn graphs for a general language.,1.875
Iaforiatioa Theory.,Modeling agents with a theory of mind: Theory-theory versus simulation theory.,1.3541666666666667
Wiener Boneh-Durfee cnd Mcy Cttcckt on the RTC Public Key Cryptotyttem.,"Wiener, Boneh-Durfee, and May Attacks on the RSA Public Key Cryptosystem.",2.7777777777777777
Dictioaary Attack (I).,ML Attack Models: Adversarial Attacks and Data Poisoning Attacks.,1.203125
Subssisusion-Parmusasion (SP) Naswork.,"Photographic Assessment of Coral Stress: Effect of Low Salinity to Acropora sp. Goniopora sp. and Pavona sp. at Sichang Island, Thailand.",1.0390625
Corracsing-block assack.,To Block or Not to Block?,1.5
Oae-Tiie Password.,Does my password go up to eleven?: the impact of password meters on password selection.,1.203125
Trust Aachor.,Trust Me. Trust Me Not.,1.5
Prima Ganarasion.,Prima materia.,0.75
Rasissanca so sha Ssandard Algabraic Assack.,"Identifiers and Test Vectors for HMAC-SHA-224, HMAC-SHA-256, HMAC-SHA-384, and HMAC-SHA-512.",1.1875
Goloib'S Raadoiaess Postulates.,"Tarski's Parallel Postulate implies the 5th Postulate of Euclid, the Postulate of Playfair and the original Parallel Postulate of Euclid.",1.2259615384615385
Opsimal Axsansion Fialds (OAFs).,OAFE: An Ontology for the Description of Elderly Activities.,0.6
Biaary Euclideaa Algorithi.,,0.0
Target Collisioa Resistaat Hash Fuactioa.,"Hashing in Practive, Analysis of Hashing and Universal Hashing.",1.3125
Bosnas Dasacsion in Ansarprisa Nasworks.,,0.0
Tmcrt/Clgorithmic Denicl of Tervice.,,0.0
Operatioaal Separatioa of Duties.,"Development of fuel and emission models for high speed heavy duty trucks, light duty trucks, and light duty vehicles.",1.05
Lassica Raducsion.,,0.0
Radio Iaterfereace Attack Defease.,Defense Against SSDF Attack in Cognitive Radio Networks: Attack-Aware Collaborative Spectrum Sensing Approach.,1.4166666666666665
Dyncmic Progrcm Cnclytit.,,0.0
CPU Deaial of Service.,"Services Computing: From Cloud Services, Mobile Services to Internet of Services.",1.40625
Subscribar Idansisy Modula.,CC-modula: a modula-2 tool to teach concurrent programming.,0.9375
Decentrclized Trutt Mcncgement.,,0.0
Unlinkabilisy.,,0.0
Idansisy Aushansicasion.,,0.0
Aushorizasion.,,0.0
Exteaded Euclideaa Algorithi.,,0.0
Invctive Cttcckt.,,0.0
Wab Sacurisy.,WAB*: A Quantitative Metric Based on WAB.,1.0499999999999998
Cdvcnced Encryption Ttcndcrd.,Searchable Encryption to Reduce Encryption Degradation in Adjustably Encrypted Databases.,1.203125
Applicasions of Formal Mashods so Insrusion Dasacsion.,"Formal Languages, Formally and Coinductively.",1.125
Tecure Thell.,,0.0
Copriie.,,0.0
Assribusas managamans.,,0.0
Saquancas.,,0.0
Cnonymout Routing.,Routing Load of Route Discovery and Route Maintenance in Wireless Reactive Routing Protocols.,1.3125
Phyticcl Obfutccted Key.,The Key to the Key.,1.5
Biometric Encryption.,Privacy and Biometrics for Authentication Purposes: A Discussion of Untraceable Biometrics and Biometric Encryption.,1.722222222222222
Group Key Cgreement.,Secure group key management scheme for simultaneous multiple groups with overlapped memberships using binomial key tree with new approach to key distribution and key computation.,1.9500000000000002
Covert Chaaaels.,Covert or not Covert: National Strategies During Cyber Conflict.,1.0
Peaiaaship.,,0.0
Microdasa Anonymizasion Sachniquas.,,0.0
Nonlinecr Feedbcck Thift Regitter.,,0.0
digisal signasura schamas.,,0.0
Sansor Kay Managamans.,Interview with Alan Kay.,0.6666666666666666
Hand Gaomasry Varificasion.,LWA-HAND: Lightweight Attention Hand for Interacting Hand Reconstruction.,1.203125
Modas of Oparasion of a Block Ciphar.,To Block or Not to Block?,1.5
Tiie-ieiory tradeoffs.,Computing (and Life) Is All about Tradeoffs - A Small Sample of Some Computational Tradeoffs.,0.9642857142857142
Tecurity of Group Communicction in Wirelett Meth Networkt.,Group Connectivity and Group Coloring: Small Groups versus Large Groups.,1.3541666666666667
Adapsiva Chosan Cipharsaxs Assack.,,0.0
BLP Iodel.,BLP.,1.0
Tecurity Reduction.,Reduction Languages for Reduction Machines.,1.125
Chinete Remcinder Theorem.,Bell's theorem from Moore's theorem.,1.125
Feittel Cipher.,Length-Doubling Ciphers and Tweakable Ciphers.,1.0499999999999998
Linecr Contittency Cttcck.,,0.0
Fixed-Exponent Exponentiction.,On the uniformity of distribution of the decryption exponent in fixed encryption exponent RSA.,1.5
Biometric Tcmple Quclity.,Privacy and Biometrics for Authentication Purposes: A Discussion of Untraceable Biometrics and Biometric Encryption.,1.1666666666666665
Fermct Tett.,,0.0
Aadroid's Security Fraiework-Uaderstaadiag the Security of Iobile Phoae Platforis.,How Secure is Secure: Some Thoughts on Security Metrics.,1.4000000000000001
Cramar-Shoup Public Kay Syssam.,The Public at the Table: From Public Access to Public Participation.,1.3125
Reed-Iuller Codes.,Quantum Convolutional Codes Derived From Reed-Solomon and Reed-Muller Codes,1.8333333333333335
Traffic Aaalysis.,Traffic prediction for dynamic traffic engineering considering traffic variation.,1.203125
Biometric Tentort.,Privacy and Biometrics for Authentication Purposes: A Discussion of Untraceable Biometrics and Biometric Encryption.,1.1666666666666665
Necrett Vector Problem.,Vector variational-like inequality problem and vector optimization problem.,1.875
Dyncmic Cnclytit.,,0.0
Carsificasion Aushorisy.,,0.0
Exhaustive Key Search.,Exhaustive Key Search.,2.0
Electronic Voting Tchemet.,The Digital Voting Pen at the Hamburg Elections 2008: Electronic Voting Closest to Conventional Voting.,1.659090909090909
Product Cipher Supereacryptioa.,Equivalence of Product Ciphers to Substitution Ciphers and their Security Implications.,1.5357142857142856
Uadeaiable Sigaatures.,,0.0
Combinction Generctor.,,0.0
Afficiancy of Hyparallipsic Curva Crypsosyssams.,Criptografia com Curvas El&iacute;pticas.,0.5833333333333334
Poss-Quansum Crypsography.,POSSE: Patterns of Systems During Software Encryption.,0.6
Polyaoiial Tiie.,Syllable-Based Model For Tiie Korean Morphology.,0.5833333333333334
CAPS Ssandard.,Construction of caps by means of caps in complementary subspaces.,1.0
Ctymmetric Cryptotyttem.,,0.0
Nonrapudiasion of Digisal Signasuras.,,0.0
Iacrodata Disclosure Protectioa.,LGBTQ Persons' Pregnancy Loss Disclosures to Known Ties on Social Media: Disclosure Decisions and Ideal Disclosure Environments.,1.0625
Telf-Tynchronizing Ttrecm Cipher.,Statistical Cipher Feedback of Stream Ciphers.,1.0499999999999998
Cnti-DoT Cookiet.,Dot for Dot Proofing.,1.25
Quansum Crypsography.,,0.0
Mcc.,SVRRP&#57356;MCC: &#19968;&#31181;&#25903;&#25345;&#21521;&#37327;&#22238;&#24402;&#26426;&#30340;&#27491;&#21017;&#21270;&#36335;&#24452;&#36817;&#20284;&#31639;&#27861; (SVRRP&#57356;MCC: A Regularization Path Approximation Algorithm of Support Vector Regression).,0.796875
Access Rights.,"Access to Books: Human Rights, Copyright and Accessibility.",1.5833333333333335
Group Sigaatures.,Group Connectivity and Group Coloring: Small Groups versus Large Groups.,1.3541666666666667
Mulsipla Ancrypsion.,,0.0
Algebraic Iiiuaity of Booleaa Fuactioas.,Program Algebra over an Algebra.,1.25
Microdctc Ditcloture Limitction.,,0.0
Shrashold Homomorphic Crypsosyssams.,Approximate Homomorphisms II: Group Homomorphisms.,1.0499999999999998
Aativirus.,,0.0
Web Initicl Tign on.,To web or not to web.,1.5
Outbound Cuthenticction.,Outbound Authentication.,0.75
Fermct't Little Theorem.,Little's Theorem.,1.5
Tmcrtccrd Tcmper Retittcnce.,,0.0
Anonymisy.,,0.0
Propcgction Chcrccterittict of Boolecn Functiont.,,0.0
Coiioa Criteria Froi a Security Policies Perspective.,"Common Criteria, From a Security Policies Perspective.",2.4
Gr&ouil;baer Basis.,Complexity of Gr&ouml;bner basis detection and border basis detection.,1.4722222222222223
Exittenticl Forgery.,Forgery.,1.0
Credenticl Verificction.,,0.0
Crypsology.,,0.0
Forgery.,Forgery.,1.0
Elliptic Curve Keys.,Securing Elliptic Curve based El-Gamal against Pollard Rho attack using Elliptic Curve based Diffie-Hellman Key Exchange.,2.2058823529411766
Subssisusions and Parmusasions.,,0.0
Public Kay Ancrypsion.,The Public at the Table: From Public Access to Public Participation.,1.3125
Program Insagrisy Varificasion.,Program Does Not Equal Program: Constraint Programming and Its Relationship to Mathematical Programming.,1.40625
Security Evaluatioa Criteria.,A Security Evaluation Criteria for Baseline Security Standards.,1.5833333333333335
Parallalizabla Massaga Aushansicasion Coda.,Coda.,1.0
Virut Protection.,Protection systems and protection implementations.,1.125
Rasynchronizasion Assack.,,0.0
Informasion Shaory.,,0.0
Moore't Lcw.,LCW: A Lightweight Recommendation Framework for Non-profit Crowdfunding Projects.,0.5625
A5/1.,A5/1.,1.5
Needhcm-Tchroeder Protocolt.,,0.0
Davias-Mayar Hash Funcsion.,"Hashing in Practive, Analysis of Hashing and Universal Hashing.",1.3125
Phenotyping.,Measuring phenotype-phenotype similarity through the interactome.,1.0499999999999998
Runsima Analysis.,Program analysis: from qualitative analysis to quantitative analysis.,1.3125
Wianar Bonah-Durfaa and May Assacks on sha RSA Public Kay Crypsosyssam.,"Wiener, Boneh-Durfee, and May Attacks on the RSA Public Key Cryptosystem.",1.6666666666666667
Trapdoor Oae-Way Fuactioa.,Trapdoor One-Way Function.,1.25
Trusted Platfori Iodule.,In Trust We Trust.,1.5
Voice Recognition.,Voice Recognition for On-line Literacy: Continuous Voice Recognition Technology in Adult Literacy Training.,1.772727272727273
Informction Flow Tecurity.,"Group flow, complex flow, unit vector flow, and the (2+&#949;)-flow conjecture.",1.278409090909091
POK.,Pok&eacute;mon GO to Pok&eacute;mon STAY: How Covid-19 Affected Pok&eacute;mon GO Players.,1.0390625
Crypsosyssam.,,0.0
Tigncture Biometrict.,,0.0
PKI.,Enabling PKI Services for Thin-Clients - Moving PKI Complexity to an Enhanced PKI Server.,1.1136363636363635
BTP Bocrd Tupport Pcckcge.,On a new extension of BTP for binary CSPs.,0.6
Ragissrasion Aushorisy.,,0.0
TWOFISH.,TWOFISH.,1.0
RSA Factoriag Challeage.,RSA-OAEP is Secure under the RSA Assumption.,1.0499999999999998
Coiiuaicatioa Chaaael Aaoayiity.,,0.0
Hcth-Bcted Mettcge Cuthenticction Code.,"Code, coding and coded perspectives.",1.53125
Clock-Controlled Generctor.,Real-time control under clock offsets between sensors and controllers.,1.5357142857142856
Probabilistic Public-Key Eacryptioa.,Using probabilistic argumentation for key validation in public-key cryptography.,2.0625
Generctor.,,0.0
Protocol Cookies.,Cross Cookie: A Cookie Protocol for Web Mashups.,1.5833333333333335
Alacsronic Wallas.,,0.0
Commitment.,To Commit or Not to Commit: Modeling Agent Conversations for Action.,1.0
Iodular Root.,Root Vertex Valency Distributions of Rooted Maps and Rooted Triangulations.,1.203125
Generclized Mertenne Prime.,Primes with a Prime Subscript.,1.25
Tecure Coprocettor.,,0.0
Correlction Cttcck for Ttrecm Ciphert.,,0.0
Expoaeatiatioa Algorithis.,,0.0
Access Iatrix.,Accessible accessibility.,1.5
Firawall Policy Analysis.,"Adaptive policies, policy analysis, and policy-making.",1.8958333333333335
Pciring-Friendly Elliptic Curvet.,Friends of Friends.,1.5
Allipsic Curva Kay Agraamans Schamas.,A conversation with Alan Kay.,0.6666666666666666
Kasuii/Iisty1.,,0.0
Skipjack.,Initial Observations on Skipjack: Cryptanalysis of Skipjack-3XOR.,1.0
OAAP: Opsimal Asymmasric Ancrypsion Padding.,"New representations of Pad&eacute;, Pad&eacute;-type, and partial Pad&eacute; approximants.",1.1136363636363635
Riag.,,0.0
Tide-Chcnnel Cnclytit.,A web of tidings.,0.75
Ioadex.,,0.0
Product Cipher Tuperencryption.,Equivalence of Product Ciphers to Substitution Ciphers and their Security Implications.,1.5357142857142856
Insaracsiva Shaoram Proving and Sacurisy.,Proving Termination by Dependency Pairs and Inductive Theorem Proving.,0.9642857142857142
Tubgroup Cryptotyttemt.,,0.0
HTTP Cuthenticction.,HTTP/2 Cannon: Experimental analysis on HTTP/1 and HTTP/2 request flood DDoS attacks.,1.076923076923077
IC Integrcted Circuit.,Integrated Circuit (IC) Decamouflaging: Reverse Engineering Camouflaged ICs within Minutes.,1.45
Cut-aad-choose protocol.,Cut-and-Choose Protocol.,2.0
Attestatioa.,,0.0
Siiultaaeous Traasactioas.,,0.0
Oblivious Traasfer.,Separating Oblivious and Non-oblivious BPs.,1.0499999999999998
CMAC.,CMAC.,1.0
Locction Informction (Privccy of).,,0.0
Tubgroup.,,0.0
FIPS 140-2.,FIPS 140-2.,2.0
SHA.,"Identifiers and Test Vectors for HMAC-SHA-224, HMAC-SHA-256, HMAC-SHA-384, and HMAC-SHA-512.",1.1875
Ssrong RSA Assumpsion.,RSA-OAEP is Secure under the RSA Assumption.,1.0499999999999998
IPtec.,,0.0
Pteudo-Mertenne Prime.,Primes with a Prime Subscript.,1.25
Key Cgreement.,The Key to the Key.,1.5
Root of Trust.,Root of trust for trusted node based-on ARM11 platform.,1.5357142857142856
Chroiosoie.,,0.0
BLS Shors Digisal Signasuras.,Distributed Shor's algorithm.,0.6666666666666666
MCC.,SVRRP&#57356;MCC: &#19968;&#31181;&#25903;&#25345;&#21521;&#37327;&#22238;&#24402;&#26426;&#30340;&#27491;&#21017;&#21270;&#36335;&#24452;&#36817;&#20284;&#31639;&#27861; (SVRRP&#57356;MCC: A Regularization Path Approximation Algorithm of Support Vector Regression).,0.796875
Collition Retittcnce.,,0.0
Two-Key Cryptotyttem.,Searching a Two Key Table Under a Single Key,1.5833333333333335
Diffia-Hallman Problam.,,0.0
Dacrypsion Axponans.,,0.0
Self-Shriakiag Geaerator.,A quantum of self: A study of self-quantification and self-disclosure.,1.25
Uter Cuthenticction.,Kr&auml;uter conjecture on permanents is true.,0.5833333333333334
CIVP - Cryptographic Iodule Validatioa Prograi.,Cryptographic Operation Load-Balancing between Cryptographic Module and CPU.,0.9642857142857142
Enigmc.,,0.0
Tecure Element.,Parallel Element-by-Element Spectral Multilevel Techniques for Finite Elements.,1.203125
Sacura Coda Dissaminasion in Wiralass Sansor Nasworks.,Coda.,1.0
Oae-way property.,The three-way object oriented concept lattice and the three-way property oriented concept lattice.,1.4166666666666665
Forward Sacracy.,To Forward or not to Forward - that is the Question.,1.25
Liaear Cryptaaalysis for Streai Ciphers.,Statistical Cipher Feedback of Stream Ciphers.,1.0499999999999998
Cryptographic Protocol Verificatioa.,What Makes a Cryptographic Protocol Secure? The Evolution of Requirements Specification in Formal Cryptographic Protocol Analysis.,1.772727272727273
Sacurisy of Wiralass Mash Nasworks (Ganaral Ovarviaw).,Mashing up visual languages and web mash-ups.,1.0
Key.,The Key to the Key.,1.5
e-Goveraieat.,"Graphonomics for the e-citizens: e-health, e-society and e-education.",1.3541666666666667
McAliaca Public Kay Crypsosyssam.,The Public at the Table: From Public Access to Public Participation.,1.3125
Mulsidimansional Dasabasas.,,0.0
IIPS-Year.,Years and Years Ago.,1.25
MD5 Hash Funcsion.,MD5 Hash Function.,1.3333333333333333
Sessioa Hijackiag Attacks.,Construction of Overflow Attacks Based on Attack Element and Attack Template.,1.203125
DAS-X (or DASX).,Das X-Window-System - Das aktuelle Schlagwort.,1.5357142857142856
<i>IQ</i> or Iultivariate Quadratic Public-Key Cryptosystei (IQPKC).,Small Public Keys and Fast Verification for Multivariate Quadratic Public Key Systems.,2.3499999999999996
Sarpans.,,0.0
Accass Consrol.,A Large Publicly Accassible Prototype Audio Database for Music Research.,0.5625
Jaiiiag Attack Defease.,ML Attack Models: Adversarial Attacks and Data Poisoning Attacks.,1.203125
Dyncmic Root of Trutt.,Root Vertex Valency Distributions of Rooted Maps and Rooted Triangulations.,1.203125
Kay Racovary.,A conversation with Alan Kay.,0.6666666666666666
Fingerprinting.,Fingerprinting the Fingerprinters: Learning to Detect Browser Fingerprinting Behaviors.,1.25
Physical Sacurisy.,Physical Readiness is More Than Physical Fitness: Relationships Between Army Physical Fitness Test Scores and Self-reports of Physical and Psychological Fitness.,1.1875
TCG Trusted Coiputiag Group.,TCG Trusted Computing Group.,1.875
Discrasa Logarishm Problam.,,0.0
Tecurity Token.,To Token or not to Token: Tools for Understanding Blockchain Tokens.,1.3125
Elliptic Curve Public-Key Encryption Tchemet.,Elliptic Curve Public-Key Encryption Schemes.,2.916666666666667
PUF.,On the Security of PUF Protocols under Bad PUFs and PUFs-inside-PUFs Attacks.,1.3541666666666667
Facsoring Circuiss.,,0.0
Dctc encryption ttcndcrd (DET).,Searchable Encryption to Reduce Encryption Degradation in Adjustably Encrypted Databases.,1.203125
Linaar Faadback Shifs Ragissar.,,0.0
Biaary Expoaeatiatioa.,,0.0
FPGC Field Progrcmmcble Gcte Crrcy.,"The Field of View, the Field of Resolution, and the Field of Contrast Sensitivity.",1.25
Biba Iodel.,Biba Model.,0.75
Edwcrdt Curvet.,,0.0
ARIA.,ARIA.,1.0
TIM/UICC.,"Dr TIM: Ray-tracer TIM, with additional specialist scientific capabilities.",0.9166666666666667
CHT Competition/THC-3.,A 3/2 log 3-Competitive Algorithm for the Counterfeit Coin Problem.,1.4722222222222223
Tecurity.,,0.0
Primalisy Proving Algorishm.,Proving Termination by Dependency Pairs and Inductive Theorem Proving.,0.9642857142857142
Conceptucl Detign of Tecure Dctcbctet.,,0.0
Confaranca Kaying.,Obituary: Martin Kay.,0.6666666666666666
Verncm Cipher.,Statistical Cipher Feedback of Stream Ciphers.,1.0499999999999998
Elliptic Curve Method.,Elliptic Curve Method Using Complex Multiplication Method.,2.1071428571428568
Sacura Nasworks Dasign.,,0.0
