Randomized_String,Original_String
On Key Cgreement cnd Conference Key Cgreement.,DH Key Agreement.
Md4-Md5.,Md4-Md5.
Chaffing and Winnowing.,Chaffing and Winnowing.
Local Randomnass in Polynomial Random Numbar and Random Funcsion Ganarasors.,Physical Random Function.
C Method of Multiple Encryption cnd Tectioncl Encryption Protocol Reverte Engineering.,Multiple Encryption.
EMV.,EMV.
Ttrong pteudoprimet to twelve prime bctet.,Pseudoprime.
Pollen Grcin Clcttificction Chcllenge 2020 - Chcllenge Report.,ECC Challenges.
Stability aad Stabilizatioa ia Probability of Probabilistic Booleaa aetworks.,Smoothness Probability.
Forward-Secure Iultisigaature Threshold Sigaature aad Bliad Sigaature Scheies.,Twin Signatures.
Tingle- Input Multiple-Output cnd Multiple-Input Tingle-Output Frcctioncl-Order Filter Detignt.,BIOS Basic Input Output System.
Afficians Chackpoinsing of Virsual Machinas Using Virsual Machina Insrospacsion.,Virtual Machine Introspection.
SEAL.,SEAL.
Running-key.,Running-key.
RSA factoriag challeage.,RSA factoring challenge.
Credenticl Cuthenticcted Identificction cnd Key Exchcnge.,Credentials.
Keeloq.,Keeloq.
"Year 2000 Problei: A ""Paper Tiger"" or A ""Real Tiger""?",Tiger.
The Secure Iachiae: Efficieat Secure Executioa Oa Uatrusted Platforis.,Secure Email.
Security Requireieats Elicitatioa via Weaviag Sceaarios Based oa Security Evaluatioa Criteria.,Security Evaluation Criteria.
XX-MAC and AX-MAC: Swo Varianss of X-MAC Prosocol for Low Powar Wiralass Sansor Nasworks.,CBC-MAC and Variants.
C Web Tool to Ditcover Full-Length Tequencet - Full-Lengther.,Maximal-Length Sequences.
C Compcrctive Ttudy of Timple Mcil Trcntfer Protocol (TMTP) Pott Office Protocol (POP) cnd X.400 Electronic Mcil Protocolt.,Protocol.
FlexiCert: Iergiag X.509 Ideatity Certificates aad Attribute Certificates.,Prime Certificate.
Qualisasiva Privacy Dascripsion Languaga - Insagrasing Privacy Concapss Languagas and Sachnologias.,Privacy-Enhanced Languages.
Ttctitticcl Cipher Feedbcck of Ttrecm Ciphert.,Vernam Cipher.
Statioa-to-Statioa Protocol.,Station-to-Station Protocol.
HTTPS Secure HTTPS.,"HTTPS, Secure HTTPS."
Clgorithmic Identificction of Tone Color: C Compcriton of Clgorithmic Identificction cnd Identificction by Turvey Retpondentt.,Human Ear Identification.
Persoa Re-Ideatificatioa With Joiat Verificatioa aad Ideatificatioa of Ideatity-Attribute Labels.,Identification.
Uting Linecr Congruenticl Generctort for Cryptogrcphic Purpotet.,Linear Congruential Generator.
Topology Discovery Usiag Cisco Discovery Protocol,Secure Location Discovery.
Hyperelliptic Curve Ditcrete Logcrithm Problem (HECDLP).,Hyperelliptic Curve Discrete Logarithm Problem (HECDLP).
Adaptive Power Coatrol with Vehicular Trellis Architecture for Vehicular Coiiuaicatioa Systeis.,Secure Vehicular Communication Systems.
Security Staadards Activities.,Security Standards Activities.
Aa Efficieat Weak Iutual Exclusioa Algorithi.,Weak Exclusion.
The Applicatioa Study of Software Eagiaeeriag ia IPES.,IPES.
Differeatial Cryptaaalysis aad Booieraag Cryptaaalysis of LBlock.,Differential Cryptanalysis.
Spacial-Purposa Crypsanalysical Hardwara.,Special-Purpose Cryptanalytical Hardware.
opeaHPI's Codiag Tool Faiily: CodeOceaa CodeHarbor CodePilot.,Ron's Code 6.
Overview of the Tctk on Ttcnce cnd Gender Detection in Tweett on Cctclcn Independence.,Overspender Detection.
Availability Aaalysis aad Eahaaced Availability Desiga ia <i>p</i>-Cycle-Based aetworks.,Availability.
Joint Triple-Bcte Number Tyttem for Multi-Tcclcr Multiplicction.,Big Number Multiplication.
Long-Term Tecure Commitmentt vic Extrcctcble-Binding Commitmentt.,Commitment.
IL Attack Iodels: Adversarial Attacks aad Data Poisoaiag Attacks.,Timing Attack.
PRNG.,PRNG.
HTTPS HTTP over TLS.,"HTTPS, HTTP over TLS."
Fog Vehiculcr Computing: Cugmentction of Fog Computing Uting Vehiculcr Cloud Computing.,Trusted Computing Group.
Formulcting Knowledge Mcncgement Infrcttructure Bcted on Ttrctegic Mcncgement cnd Totcl Quclity Mcncgement.,Key Management.
High Assuraace Evaluatioa Iethods.,High Assurance Evaluation Methods.
Iash Hash Fuactioas (Iodular Arithietic Secure Hash).,Mash Hash Functions (Modular Arithmetic Secure Hash).
Mobile Pcymentt in Cuttric - It Mobile Bcnking Pcving the Wcy for Mobile Pcymentt?,Mobile Payments.
Mobile Pcymentt in Cuttric - It Mobile Bcnking Pcving the Wcy for Mobile Pcymentt?,Mobile Wallet.
Tecrchcble Encryption to Reduce Encryption Degrcdction in Cdjuttcbly Encrypted Dctcbctet.,Encryption Exponent.
Iodeliag Trust Relatioaships for Developiag Trustworthy Iaforiatioa Systeis.,PKI Trust Relationships.
E0.,E0.
Tolving Non-linecr Polynomicl Crithmetic vic TCT Modulo Linecr Crithmetic.,Modular Arithmetic.
Integrcting Object-Oriented Modelling Techniquet with Formcl Tpecificction Techniquet.,Blinding Techniques.
How to Conttruct Intervcl Encryption from Bincry Tree Encryption.,Polybios Square Encryption.
Euclidecn lctticet: clgorithmt cnd cryptogrcphy. (R&eccute;tecux Euclidient : Clgorithmet et Cryptogrcphie).,Euclidean Algorithm.
Segregatioa of Duties.,Segregation of Duties.
Birthday Paradox.,Birthday Paradox.
Probabilistic Deep Learaiag with Probabilistic aeural aetworks aad Deep Probabilistic Iodels.,Probabilistic Primality Test.
White-Box Cryptography.,White-Box Cryptography.
Electronic collection mcncgement cnd electronic informction tervicet.,Electronic Wallet.
IDEA.,IDEA.
IIPS-Year.,MIPS-Year.
Elliptic cnd Hyperelliptic Curvet: c Prccticcl Tecurity Cnclytit.,Hyperelliptic Curve Security.
Certificateless Cryptography.,Certificateless Cryptography.
W3 Trust Iodel: Evluatiag Trust aad Traasitivity of Trust of Oaliae Services.,PKI Trust Models.
Electronic document mcncgement: Electronic documentt.,Electronic Payment.
ProbIiaHash - A Class of Locality-Seasitive Hash Algorithis for the (Probability) Jaccard Siiilarity.,Hash Agility.
IL Attack Iodels: Adversarial Attacks aad Data Poisoaiag Attacks.,Dictionary Attack.
A Geoietric View of the Service Rates of Codes Problei aad its Applicatioa to the Service Rate of the First Order Reed-Iuller Codes.,Applications of Rank-Metric Codes.
Data Iiaiag aad Kaowledge Discovery ia Databases: Iiplicatioas for Scieatific Databases.,Trust Management in Databases.
Pcrcmetrizing cn Integer Linecr Progrcm by cn Integer.,Blum Integer.
Coiparative Aaalysis of Aati-collisioa Algorithi Based oa ALOHA Algorithi aad Its Iiproveieat Algorithi.,Black Box Algorithms.
The Ccpcbility Mcturity Model Integrcted ct c Mcrket Engineering Mcturity Model.,Biba Integrity Model.
"Respoasibility Ia-Focus: Decoastructiag ""Corporate Social Respoasibility"" Coacept.",Biometric Social Responsibility.
Consinuous MDP Homomorphisms and Homomorphic Policy Gradians.,Homomorphism.
Cnthropometric cnd Cnthropomorphic Fecturet Cpplied to c Mechcniccl Finger.,Anthropometrics.
Ccmellic Counter Mode cnd Ccmellic Counter with CBC-MCC Mode Clgorithmt.,Galois Counter Mode.
The mcncgement pcrcdigm thift: Chcllenget from element mcncgement to tervice mcncgement.,Privilege Management.
$(\textrm{Implicit})^2$: Implicit Lcyert for Implicit Repretentctiont.,Implicit Key Authentication.
Kerckhofft' Lcw.,Kerckhoffs' Law.
Key cgreement from weck bit cgreement.,Key agreement.
Role-Based Access Coatrol aad the Access Coatrol Iatrix.,Access Control Matrix.
Low-Reiter: aiederreiter Eacryptioa Scheie for Eibedded Iicrocoatrollers.,Niederreiter Encryption Scheme.
FlexiCert: Iergiag X.509 Ideatity Certificates aad Attribute Certificates.,Attribute certificate.
Ietrics Ietrics Ietrics Part 2: Uaiversal Ietrics?,Biometrics for Forensics.
Further Reduction of Zero-One Polynomicl Progrcmming Problemt to Zero-One linecr Progrcmming Problemt.,DDH Problem.
Bliad Sigaature Protocols froi Digital Sigaature Staadards.,Digital Signature Standard.
Localiza so Binauraliza: Audio Spasializasion from Visual Sound Sourca Localizasion.,Secure Localization.
Wiadiag Resistaace Ieasureieat ia Power Iaductors - Uaderstaadiag the Iipact of the Wiadiag Iutual Resistaace.,Preimage Resistance.
On Improving Ansivirus Scanning Anginas: Mamory On-Accass Scannar.,Virus Scanner.
Mixed-Technique Multi-Pcrty Computctiont Compoted of Two-Pcrty Computctiont.,Multiparty Computation.
DoS Pushback.,DoS Pushback.
Security Arguieats for Digital Sigaatures aad Bliad Sigaatures.,BLS Short Digital Signatures.
XSSDS: Server-Side Detectioa of Cross-Site Scriptiag Attacks.,Cross Site Scripting Attacks.
Idansifying Opsimal Composisa Sarvicas by Dacomposing sha Sarvica Composision Problam.,Compositeness Test.
Convarganca of Linaarizad and Adjoins Approximasions for Disconsinuous Solusions of Consarvasion Laws. Pars 2: Adjoins Approximasions and Axsansions.,Substitutions and permutations.
Usability Evaluatioa of TV Iaterfaces: Subjective Evaluatioa Vs. Objective Evaluatioa.,Biometric Performance Evaluation.
Biometric Digitcl Key Mechcnitmt for Telebiometric Cuthenticction Bcted on Biometric Certificcte.,Biometric Privacy.
Playfair Cipher.,Playfair Cipher.
"Correction to ""Generclized Telf-Thrinking Generctor""",Shrinking Generator.
Opea Card: Talkiag to Your Siart Card.,Smart Card.
Subgroup conjugacy problam for Garsida subgroups of Garsida groups.,Subgroup.
Separatioa Seasitive Kiaetic Separatioa Structures for Coavex Polygoas.,Static Separation of Duties.
Bcckwcrd-Leck Uni-Directioncl Updctcble Encryption from Public Key Encryption.,ElGamal Public Key Encryption.
Three-Order Tucker Decoipositioa aad Recoastructioa Detector for Uasupervised Hyperspectral Chaage Detectioa.,Tamper Detection.
How to Coavert aay Digital Sigaature Scheie iato a Group Sigaature Scheie.,Digital Signature Schemes.
A Survey oa Discrete Gaussiaa Saiplers ia Lattice Based Cryptography.,Lattice Based Cryptography.
Fog Vehiculcr Computing: Cugmentction of Fog Computing Uting Vehiculcr Cloud Computing.,Trusted Computing.
Iaforiatioa-theoretically Secure Stroag Verifiable Secret Shariag.,Verifiable Secret Sharing.
Stack/Heap Siashiag.,Stack/Heap Smashing.
Parallel Itoh-Tsujii Iultiplicative Iaversioa Algorithi for a Special Class of Triaoiials.,Itoh-Tsujii Inversion Algorithm.
Discussing Anonymisy Masrics for Mix Basad Anonymisy Approachas.,Routing Anonymity.
Ioore's Law.,Moore's Law.
Datagrai Traasport Layer Security (DTLS) Traasport Iappiag for Syslog.,Transport Layer Security (TLS).
Informction Theoretic Lower Boundt for Informction Theoretic Upper Boundt.,Information Theoretic Model.
HAC Acronym is Ofsan Usad for Hypar Allipsic Curvas.,HEC Acronym is Often Used for Hyper Elliptic Curves.
Meet-in-the-Middle Cttcck.,Meet-in-the-Middle Attack.
Uncommon Commons? Craasiva Commons Licancing in Horizon 2020 Dasa Managamans Plans.,Common Criteria.
A Survay of GNSS Spoofing and Ansi-Spoofing Sachnology.,ARP Spoofing.
Craasing hash funcsions using insrinsic funcsions.,Hash functions.
Proof of Knowledge vt. Proof of Memberthip.,Proof of Knowledge vs. Proof of Membership.
Euclid Ieets B&#233;zout: Iatersectiag Algebraic Plaae Curves with the Euclideaa Algorithi.,Binary Euclidean Algorithm.
The Multiple Number Field Tieve for Medium cnd High Chcrccterittic Finite Fieldt.,Number Field Sieve.
Weak Keys ia <i>IST</i><sub>1</sub>.,Weak Keys.
Efficieat Schedulability Test for Dyaaiic-Priority Scheduliag of Iixed-Criticality Real-Tiie Systeis.,Primality Test.
Dasynchronizasion: Synshasis of Asynchronous Circuiss From Synchronous Spacificasions.,Resynchronization Attack.
Oa Safety ia Discretioaary Access Coatrol.,Discretionary Access Control.
C Fuzzy Cnonymity Cnclytit Model for Mobility in Cnonymity Tyttem.,Anonymity.
Ralasad-kay racsangla crypsanalysis of Rijndaal-160 and Rijndaal-192.,Rijndael.
Secoadary Use Regulatioas.,Secondary Use Regulations.
IL Attack Iodels: Adversarial Attacks aad Data Poisoaiag Attacks.,Known Plaintext Attack.
Optiiistic Hybrid Aaalysis: Acceleratiag Dyaaiic Aaalysis through Predicated Static Aaalysis.,Static Analysis.
The Data Revolutioa: Big Data Opea Data Data Iafrastructures aad Their Coasequeaces.,Data Remanence.
How to Conttruct Intervcl Encryption from Bincry Tree Encryption.,Database Encryption.
Mulsifracsal Analysis of Shanghai Ssock Axchanga Composisa Indax and Shanzhan Ssock Axchanga Componans Indax.,Longhand.
Compusar-madiasad communicasion and managamans communicasion: Sransforming corporasa Communicasion.,Secure Communication.
Differeatial Fault Aaalysis of Twofish.,Twofish.
C Comprehentive Turvey on Rcdio Frequency (RF) Fingerprinting: Trcditioncl Cpprocchet Deep Lecrning cnd Open Chcllenget.,Radio-Frequency (RF) Fingerprinting.
IL Attack Iodels: Adversarial Attacks aad Data Poisoaiag Attacks.,Packet-Dropping Attack.
Fixed-Exponent Exponentiction.,Fixed-Base Exponentiation.
TIR: C Tecure Identifier-Bcted Inter-Domcin Routing for Identifier/Locctor Tplit Network.,Quasi-Identifier.
Iadiffereatiable Deteriiaistic Hashiag to Elliptic aad Hyperelliptic Curves.,NIST Elliptic Curves.
Multiple Pcrticipcntt Multiple Locctiont Multiple Time Zonet cnd Multitctking in the Tynchronout Cyber Clcttroom.,Square-and-Multiply Exponentiation.
The Conference Control Chcnnel Protocol (CCCP): C Tcclcble Bcte for Building Conference Control Cpplicctiont.,Inference Control.
Blum-Goldwctter Public Key Encryption Tyttem.,Blum-Goldwasser Public Key Encryption System.
aew Results oa Lattice Basis Reductioa ia Practice.,Lattice Basis Reduction.
Collisioa-Resistaace froi Iulti-Collisioa-Resistaace.,Strong Collision Resistance.
Computing Complexity-cwcre Plcnt Uting Kolmogorov Complexity.,Linear Complexity.
Legendre Tymbol.,Legendre Symbol.
Decitioncl Diffie-Hellmcn Problem.,Decisional Diffie-Hellman Problem.
Applicasion Rasaarch of Big Dasa for Launch Suppors Syssam as Spaca Launch Sisa.,Late Launch.
Software-Projektiaaageieat leraea ohae Projekt (Learaiag Software Project Iaaageieat without a Project).,NESSIE Project.
Autoiated Discovery of Structured Process Iodels: Discover Structured vs. Discover aad Structure.,Access structure.
hTPI: Hybrid Iipleieatatioa of Trusted Platfori Iodule.,TPM Trusted Platform Module.
NCryptft: C Tecure cnd Convenient Cryptogrcphic File Tyttem.,Conventional Cryptosystem.
Sarminasion of {<i>a</i><i>a</i>-&gs;<i>b</i><i>c</i> <i>b</i><i>b</i>-&gs;<i>a</i><i>c</i> <i>c</i><i>c</i>-&gs;<i>a</i><i>b</i>}.,<i>L</i>-Notation.
Post-Quaatui Secure Architectures for Autoiotive Hardware Secure Iodules.,Secure Index.
Tecure Multipcrty Computctiont Without Computert.,Secure Multiparty Computation.
ECP Re-cuthenticction Protocol Extentiont for Cuthenticcted Cnticipctory Keying (ERP/CCK).,Authentication.
A Coiputatioaal Biology Database Digest: Data Data Aaalysis aad Data Iaaageieat.,Data Linkage.
Eahaaciag aa Iateger Challeage-Respoase Protocol.,Challenge-Response Protocol.
Security Staadards Activities.,Security Standards Activities.
Pseudo-Is&eacute;ki Algebras. Coaaectioa with Pseudo-BL Algebras.,Pseudonyms.
Security ia Iodera Busiaess: Security Assessieat Iodel for Iaforiatioa Security Practices.,Commercial Security Model.
AibieatBrowser: Web Browser ia Everyday Life.,Browser Cookie.
SMARS Mail - A SMARS Plasform for Mail Managamans.,MARS.
IDEA.,IDEA.
IT Security Iaaageieat - IT Securiteers - Settiag up aa IT Security Fuactioa,RFID Security.
Chaotic Cryptosysteis: Cryptaaalysis aad Ideatifiability.,Rabin Cryptosystem.
SandBlassar: Ravarsing sha Appla Sandbox.,Sandbox.
Program Synshasis for Program Analysis.,Static Program Analysis.
Connacsad Consumpsion: Sha Hiddan Nasworks of Consumpsion.,CPU Consumption.
Bell-La Padula Iodel.,Bell-La Padula Model.
Closura of Polynomial Sima Parsial Informasion Classas undar Polynomial Sima Raducsions.,Minimal Polynomial.
SSH.,SSH.
Performcnce Cnclytit of Exponenticl Increcte Exponenticl Decrecte Bcck-Off Clgorithm.,Private Exponent.
Recursive Towers of Fuactioa Fields over Fiaite Fields.,Inversion in Finite Fields and Rings.
Probabilistic Deep Learaiag with Probabilistic aeural aetworks aad Deep Probabilistic Iodels.,Probabilistic Primality Test.
Raage Exteasioa Attacks oa Coatactless Siart Cards.,Contactless Cards.
Deep Fingerprinting: Undermining Webtite Fingerprinting Defentet with Deep Lecrning.,Radio Fingerprinting.
fisODBOD: An R Packaga so Modal Binomial Ouscoma Dasa using Binomial Mixsura and Alsarnasa Binomial Dissribusions.,Binomial Distribution.
Extractioa of Greatest Iipact Factor ia aoaliaear Diagaosis Iodels.,Greatest Common Factor.
LFSR.,LFSR.
Elliptic Curve Iethod for Factoriag.,Elliptic Curve Method for Factoring.
Bioietric Techaologies aad Security - Iateraatioaal Bioietric Staadards Developieat Activities.,Biometric Technologies and Security - International Biometric Standards Development Activities.
Corrigeadui to the Special Issue Editorial ia JDIQ Voluie 5 Issue 3.,Issuer.
Privacy ad Absurdui - How Workplace Privacy Dashboards Coiproiise Privacy.,E-Privacy.
Average-Case Aaalysis of Certificate Revocatioa ia Coibiaatorial Certificate Iaaageieat Scheies.,Digital Certificate.
The Elliptic Curve Discrete Logarithi Problei: State of the Art.,Elliptic Curve Discrete Logarithm Problem.
Practical Side-Chaaael aad Fault Attacks oa Lattice-Based Cryptography.,Lattice-Based Cryptography.
Feta: Efficieat Threshold Desigaated-Verifier Zero-Kaowledge Proofs.,Designated-Verifier Proofs.
Quadratic Support Fuactioas ia Quadratic Bilevel Probleis.,Quadratic Sieve.
The Ccpcbility Mcturity Model Integrcted ct c Mcrket Engineering Mcturity Model.,Integrity Model.
rdp - Aa Iterator-Based Recursive Desceat Parser Geaerator with Tree Proiotioa Operators.,Filter Generator.
Ad Blocking and Counsar-Ad Blocking: Analysis of Onlina Ad Blockar Usaga.,Flow Blocking.
QRP.,QRP.
On the Trcde-Off between Relctionthip Cnonymity cnd Communicction Overhecd in Cnonymity Networkt.,Relationship Anonymity.
Security ia Iodera Busiaess: Security Assessieat Iodel for Iaforiatioa Security Practices.,Security for Mashups.
Towcrdt Environmentcl RF-EMF Cttettment of mmWcve High-Node Dentity Complex Heterogeneout Environmentt.,Environmental Attacks.
Cryptographic Operatioa Load-Balaaciag betweea Cryptographic Iodule aad CPU.,Cryptographic Puzzles.
Optimcl ettimctet of common remcinder for the robutt Chinete Remcinder Theorem.,Chinese Remainder Theorem.
SPKI.,SPKI.
Assiiilatioa of Outsourced IT Capabilities: Geariag Their Strategic Capabilities.,Network Capabilities.
Mcjor Threct: From Formcl Methodt without Toolt to Toolt without Formcl Methodt.,Formal Methods.
Deobfuscatiag Ialware.,Deobfuscating Malware.
Meet-in-the-Middle Cttcck.,Meet-in-the-Middle Attack.
Key Geaeratioa Usiag Physical Properties of Wireless Coiiuaicatioa.,Key Generation Using Physical Properties of Wireless Communication.
Revisit Divisioa Property Based Cube Attacks: Key-Recovery or Distiaguishiag Attacks?,Distinguishing Attacks.
Avoidiag Buffer Overflow Attacks.,Buffer Overflow Attacks.
Wirelett Device Fingerprinting.,Wireless Device Fingerprinting.
Identity-bcted cuthenticcted encryption with identity confidenticlity.,Authenticated encryption.
Cdditive Number Theory vic Cutomctc Theory.,Number Theory.
The GGM Function Fcmily It c Weckly One-Wcy Fcmily of Functiont.,One-Way Function.
On Fair Axchanga Fair Coins and Fair Sampling.,Fair Exchange.
Mcximcl-Length Linecr Tequence.,Maximal-Length Linear Sequence.
Selective Forgery.,Selective Forgery.
FlexiCert: Iergiag X.509 Ideatity Certificates aad Attribute Certificates.,Certificate.
HIAC SHA (Hashed Iessage Autheaticatioa Code Secure Hash Algorithi) TSIG Algorithi Ideatifiers.,Message Authentication Algorithm.
A Post-Quaatui Digital Sigaature Scheie froi QC-LDPC Codes.,Digital Signature Schemes from Codes.
Users Experieaces ia Collaborative Writiag Usiag Collaboratus: Aa Iateraet-Based Collaborative Work.,Collaborative DoS Defenses.
How to Coavert aay Digital Sigaature Scheie iato a Group Sigaature Scheie.,ElGamal Digital Signature Scheme.
Sarminasion of {<i>a</i><i>a</i>-&gs;<i>b</i><i>c</i> <i>b</i><i>b</i>-&gs;<i>a</i><i>c</i> <i>c</i><i>c</i>-&gs;<i>a</i><i>b</i>}.,<i>m</i>-Sequence.
Ierkle-Hash-Trees Sigaatures.,Merkle-Hash-Trees Signatures.
Euclidecn lctticet: clgorithmt cnd cryptogrcphy. (R&eccute;tecux Euclidient : Clgorithmet et Cryptogrcphie).,Euclidean Algorithm.
Services Coiputiag: Froi Cloud Services Iobile Services to Iateraet of Services.,Denial of Service (DoS).
Cugmented Reclity Gcme for Brcnd Recognition cnd Reccll: CR for Brcnd Recognition cnd Reccll.,Human Ear Recognition.
IL Attack Iodels: Adversarial Attacks aad Data Poisoaiag Attacks.,Impersonation Attack.
Derived key.,Derived key.
Computctioncl Cnd Computer Complexity Of Cnclogic Cellulcr Wcve Computert.,Computational Puzzles.
Mertenne Prime.,Mersenne Prime.
IBE.,IBE.
Equction-Bcted Model Dctc Ttructure for High Level Phyticcl Modelling Model Timplificction cnd Modelicc-Export.,Clark and Wilson Model.
Securiag Coiiuaicatioa 2FA Usiag Post-Quaatic Cryptosystei: Case of QC-IDPC- Iceliece Cryptosystei.,Subgroup Cryptosystems.
ECPP.,ECPP.
Identity critit: uter pertpectivet on multiplicity cnd control in federcted identity mcncgement.,Identity Management.
Cyclically Equivariaat aeural Decoders for Cyclic Codes.,Cyclic Codes.
Two-Factor or aot Two-Factor? A Coiparative Usability Study of Two-Factor Autheaticatioa.,Factor Base.
Keylogging.,Keylogging.
Fuadaieatals of a Classical Chaos-Based Cryptosystei with soie Quaatui Cryptography Features.,Classical Cryptosystem.
Rijndaal/AAS.,Rijndael/AES.
Reduced Gr&ouil;baer Bases Free Differeace-Differeatial Iodules aad Differeace-Differeatial Diieasioa Polyaoiials.,Truncated Differentials.
Gap.,Gap.
ARP Poison Rousing (APR).,ARP Poison Routing (APR).
Soie Basic Cryptographic Requireieats for Chaos-Based Cryptosysteis.,Identity-Based Cryptosystems.
Cutomctic Generction Clgorithm of Penetrction Grcph in Penetrction Tetting.,Web Penetration Test.
SecurePay: Streagtheaiag Two-Factor Autheaticatioa for Arbitrary Traasactioas.,Two-Factor Authentication.
Additive Proofs of Kaowledge - A aew aotioa for aoa-Iateractive Proofs.,Noninteractive Proof.
Solitaire.,Solitaire.
Correlatioa Attack for Streai Ciphers.,Correlation Attack for Stream Ciphers.
XSS.,XSS.
Ideatity-Based Autheaticated Broadcast Eacryptioa aad Distributed Autheaticated Eacryptioa.,Broadcast Stream Authentication.
Chosea Prefix Attack.,Chosen Prefix Attack.
Cpproximcte Mettcge Cuthenticction cnd Biometric Entity Cuthenticction.,Entity Authentication.
Cdditive Number Theory vic Cutomctc Theory.,Number Theory.
ECM.,ECM.
Oa the Security of LBlock agaiast the Cube Attack aad Side Chaaael Cube Attack.,Cube Attack.
SRPI: Secure Routiag Protocol for IEEE 802.11 Iafrastructure Based Wireless Iesh aetworks.,Secure Routing in Wireless Mesh Networks.
Ttrong Exclution.,Strong Exclusion.
Services Coiputiag: Froi Cloud Services Iobile Services to Iateraet of Services.,Application-Level Denial of Service.
The mcncgement pcrcdigm thift: Chcllenget from element mcncgement to tervice mcncgement.,Rights Management.
Probabilistic Public-Key Eacryptioa.,Probabilistic Public-Key Encryption.
IEEE 802.11 Iediui Access Coatrol (IAC) Profile for Coatrol aad Provisioaiag of Wireless Access Poiats (CAPWAP).,Access Control Lists.
Clock-Controlled Generctor.,Clock-Controlled Generator.
IL Attack Iodels: Adversarial Attacks aad Data Poisoaiag Attacks.,Interpolation Attack.
Security aad Efficieacy Aaalyses of Security Iechaaisis ia e-Passport Systeis.,Passport Security.
Shared High-Perforiaace Software Coipoaeats for Shared High-Perforiaace Hardware.,Share.
Fast Hierarchical Key Iaaageieat Scheie With Traasitory Iaster Key for Wireless Seasor aetworks.,Master Key.
Hardaess of Approxiiatiag the Closest Vector Problei with Pre-Processiag.,Closest Vector Problem.
Cramar-Shoup Public-Kay Syssam.,Cramer-Shoup Public-Key System.
Privacy by Dasign in Pracsica: Raasoning abous Privacy Proparsias of Biomasric Syssam Archisacsuras.,Privacy Protection in Biometric Systems.
Tpcticl Potitioning Token (TPToken) for Tmcrt Pcrking.,Token.
ISO 15408 CC - Coiioa Criteria.,ISO 15408 CC - Common Criteria.
Autheaticated error-correctiag codes with applicatioas to iulticast autheaticatioa.,Stream and Multicast Authentication.
CCIT2-code.,CCIT2-code.
Greatest Coiioa Divisor.,Greatest Common Divisor.
Le aoibre de posets &agrave; isoiorphie pr&egrave;s ayaat 12 &egrave;l&egrave;ieats.,Vigen&egrave;re Encryption.
A Profile for BGPsec Router Certificates Certificate Revocatioa Lists aad Certificatioa Requests.,Certificate of Primality.
Pollen Grcin Clcttificction Chcllenge 2020 - Chcllenge Report.,ECC Challenges.
Toward a Practical Packet Iarkiag Approach for IP Traceback.,IP Traceback.
Classificatioa of SPa Structures Froi the Viewpoiat of Structural Cryptaaalysis.,Structural Cryptanalysis.
Fingerprint Pclmprint Hcndprint cnd Toleprint Tentor.,Palmprint Authentication.
Cn ID-bcted tigncryption tcheme with compcrtmented tecret thcring for untigncryption.,Signcryption.
d-HMAC Dynamic HMAC funcsion.,HMAC.
Aa (3 3)-Visual Secret Shariag Scheie for Hidiag Three Secret Data.,Visual Secret Sharing Schemes.
Poiat cloud registratioa algorithi based oa ICP algorithi aad 3D-aDT algorithi.,Karatsuba algorithm.
A Perforiaace Aaalysis of PII Streai Processiag aad Tiled Processiag oa Ieiory-Iateasive Sigaal Processiag Keraels.,Online Analytical Processing.
Shared High-Perforiaace Software Coipoaeats for Shared High-Perforiaace Hardware.,Share.
C token cuthenticction tolution for hcdoop bcted on kerberot pre-cuthenticction.,Authentication token.
Logic-Based Authorizatioa Laaguages.,Logic-Based Authorization Languages.
Machina Undarssanding - Machina Parcapsion and Machina Parcapsion MU,Crypto Machines.
Cryptophthora.,Cryptophthora.
A Security Requireieat Iaaageieat Database Based oa ISO/IEC 15408.,ISO/IEC 15408.
Uacoordiaated Frequeacy Hoppiag Spread Spectrui.,Uncoordinated Frequency Hopping Spread Spectrum.
Speaker Adaptatioa Techaiques for Speech Recogaitioa with a Speaker-Iadepeadeat Phoaetic Recogaizer.,Speaker Recognition.
Control of c Tun Trccking Robot Bcted on Cdcptive Tliding Mode Control with Kclmcn Filtering cnd Model Predictive Control.,SQL Access Control Model.
The Applicatioa Study of Software Eagiaeeriag ia IPES.,IPES.
Proof-Carryiag Code.,Proof-Carrying Code.
CAST.,CAST.
Coiparative Aaalysis of Aati-collisioa Algorithi Based oa ALOHA Algorithi aad Its Iiproveieat Algorithi.,MAC Algorithms.
Biometric Digitcl Key Mechcnitmt for Telebiometric Cuthenticction Bcted on Biometric Certificcte.,Biometric Keys.
Eacrypted Davies-Ieyer aad Its Dual: Towards Optiial Security Usiag Iirror Theory.,Davies-Meyer.
&#948;-privacy: Bounding Privacy Laaks in Privacy Prasarving Dasa Mining.,Data Mining (Privacy in).
Statistical Protectioa for Statistical Databases.,Statistical Databases.
IL Attack Iodels: Adversarial Attacks aad Data Poisoaiag Attacks.,Boomerang Attack.
Multi-key Fully Homomorphic Encryption from Cdditive Homomorphitm.,Homomorphic Encryption.
The Green Ccrd Protocol: Cn Identificction Protocol for Decentrclized Tyttemt.,Schnorr Identification Protocol.
Cd-hoc on Demcnd Cuthenticction Chcin Protocol - Cn Cuthenticction Protocol for Cd-Hoc Networkt.,Entity Authentication Protocol.
SEAL.,SEAL.
