Randomized_String,Original_String
Applicasions of Rank-Masric Codas.,Rank Codes.
Linecr Complexity.,Linear Complexity.
Tieving in Function Fieldt.,Sieving in Function Fields.
Salkar Racognision.,Talker Recognition.
Run-Sima Malwara Analysis.,Run-Time Malware Analysis.
PEI Privacy-Eahaaced Iail.,"PEM, Privacy-Enhanced Mail."
Nyberg-Rueppel Tigncture Tcheme.,Nyberg-Rueppel Signature Scheme.
Fclte Dctc Filtering.,False Data Filtering.
ElGcmcl Public Key Encryption.,ElGamal Public Key Encryption.
Verificble Encryption.,Deniable Encryption.
Pteudonymt.,Pseudonyms.
Tliding Window Exponentiction.,Sliding Window Exponentiation.
Ecr Biometrict.,Human Ear Biometrics.
Typing Dyncmict.,Typing Dynamics.
Refereace Ioaitor.,Reference Monitor.
HSSP Cookia.,HTTP Cookie.
Elliptic Curves for Priiality Proviag.,Elliptic Curves for Primality Proving.
Seasor Key Establishieat aad Iaiateaaace.,Sensor Key Establishment and Maintenance.
Luby-Rackoff Ciphers.,Luby-Rackoff Ciphers.
Password.,Password.
Visual Sacras Sharing Schamas.,Visual Secret Sharing Schemes.
Mix Networkt.,Mix Networks.
Booieraag Attack.,Boomerang Attack.
Crott-Correlction.,Cross-Correlation.
Feistel Cipher.,Feistel Cipher.
Lctent Fingerprint.,Fingerprint.
Quadrasic Siava.,Quadratic Sieve.
Diffie-Hellmcn Key Cgreement.,Diffie-Hellman Key Exchange.
Salacsing a Salacsion Procadura.,Salt.
Zeroizction.,Zeroization.
Voice Biometric.,Voice Biometrics.
Coiputatioaally Souad Proof Systei.,Interactive Proof Systems.
Group Key Dittribution.,Group Key Distribution.
Ciphertext-Oaly Attack.,Ciphertext-Only Attack.
Primclity Proving Clgorithm.,Primality Proving Algorithm.
Scheies Based oa Raak Codes.,Schemes Based on Rank Codes.
Dicsionary Assack (I).,Dictionary Attack (I).
Related Key Attack.,Related Key Attack.
Broadcast Eacryptioa.,Broadcast Encryption.
Diffie-Hellmcn Problem.,Diffie-Hellman Problem.
Security Iiplicatioa ia Virtualizatioa.,Security Implication in Virtualization.
FPGCt in Cryptogrcphy.,FPGAs in Cryptography.
Related Key Attack.,Related Key Attack.
Secure Loggiag.,Secure Logging.
Order.,Order.
Hash-Based Sigaatures.,Hash-Based Signatures.
DNA Mamory.,DNA.
Three-Fcctor Cuthenticction.,Three-Factor Authentication.
Zeta Fuactioa Coiputatioa.,Zeta Function Computation.
Generctor.,Generator.
Iavasive Attacks.,Invasive Attacks.
Iultiset Attack.,Electromagnetic Attack.
Unpccking Mclwcre.,Unpacking Malware.
E0 (Bluetooth).,E0 (Bluetooth).
Blinding Sachniquas.,Blinding Techniques.
Ring.,Ring.
Run-Sima Malwara Analysis.,Dynamic Malware Analysis.
GRAPA.,DPA.
TPKI/TDTI.,SPKI/SDSI.
Chaum Blind Signasura Schama.,Chaum Blind Signature Scheme.
Taiper Respoase.,Tamper Response.
Uaiversal Iategrated Circuit Card.,Universal Integrated Circuit Card.
Whirlpool.,Whirlpool.
Iateractive Proof.,Interactive Proof.
Iiller-Rabia Probabilistic Priiality Test.,Miller-Rabin Probabilistic Primality Test.
MD5 Hash Funcsion.,MD4 Hash Function.
MAC.,GMAC.
TCP Retet Injection.,TCP Reset Injection.
Fclte Dctc Injection Defente.,False Data Injection Defense.
Mulsiparsy Compusasion (MPC).,Multiparty Computation (MPC).
Credenticlt.,Credentials.
Chiaese Wall.,Chinese Wall.
Eavesdroppiag.,Eavesdropper.
Shannon's Modal.,Shannon's Model.
Vascular Passarns.,Vascular Patterns.
Clberti encryption.,Alberti encryption.
Data Eacryptioa Staadard (DES).,Data Encryption Standard (DES).
RBAC.,RBAC.
Shaiir's Threshold Scheie.,Shamir's Threshold Scheme.
Ttcck (Buffer) Overflow.,Stack (Buffer) Overflow.
Code Verificatioa.,Bytecode Verification.
Cpplicctiont of Formcl Methodt to Web Cpplicction Tecurity.,Applications of Formal Methods to Web Application Security.
TERPENT.,SERPENT.
Electronic Purte.,Electronic Purse.
MPKC.,MPKC.
Iultiset Attack.,Electromagnetic Attack.
Video Wateriarkiag.,Watermarking.
Knowledge Mcncgement cnd Ritk Mcncgement.,Certificate Management.
Secure Socket Layer (SSL).,Secure Socket Layer (SSL).
Conference Key Cgreement.,Conference Key Agreement.
Banking and shadow banking.,Bank Card.
Tymmetric Cryptotyttem.,Symmetric Cryptosystem.
Certificcte Revocction.,Certificate Revocation.
Gcloit Mettcge Cuthenticction Code.,Genetic Code.
Wab Browsar Sacurisy and Privacy.,Web Browser Security and Privacy.
Pteudorcndom Function.,Pseudorandom Function.
Temporcl Dctc.,Temporal Access Control.
Cctccde Revoke.,Cascade Revoke.
Kerberot Cuthenticction Protocol.,Kerberos Authentication Protocol.
Firewall.,Firewalls.
Remote Experimentction Through Crduino-Bcted Remote Lcborctoriet.,Remote Attestation.
Dynamic scraaning wish limisad commismans.,compromising emanations.
Biometrict.,Biometrics.
aoaiateractive Proof.,Noninteractive Proof.
Overlay-Based DoS Defeases.,Overlay-Based DoS Defenses.
Formal Analysis of Sacurisy APIs.,Formal Analysis of Security APIs.
Iaversioa Attack.,Inversion Attack.
Ball-LaPadula Confidansialisy Modal.,Bell-LaPadula Confidentiality Model.
Threshold Sigaature.,Threshold Signature.
Differeatial-Liaear Attack.,Impossible Differential Attack.
Greatest Coiioa Divisor.,Greatest Common Divisor.
Bibc Mcndctory Integrity Policy.,Biba Mandatory Integrity Policy.
MD4-MD5.,MD4-MD5.
Physical Unclonabla Funcsions (PUFs).,Physical Unclonable Functions (PUFs).
Kaapsack Cryptographic Scheies.,Formal Analysis of Cryptographic Protocols.
Iodulus.,Modulus.
<i>O</i>-Notction.,<i>O</i>-Notation.
Minimal Privilaga.,Minimal Privilege.
Biometric Identificction in Video Turveillcnce.,Biometric Identification in Video Surveillance.
Platfori for Privacy Prefereaces (P3P).,Platform for Privacy Preferences (P3P).
Chroot Prisoa.,Chroot Prison.
Cnonymity in Dctc Mining.,Anonymity in Data Mining.
Scheduliag Strategies for Data Streai Processiag.,Strong Prime.
Linecr Tyndrome Cttcck.,Linear Syndrome Attack.
Nym.,Nym.
CPU Denicl of Tervice.,Denial of Service.
Key etcrow.,Key escrow.
Trade-Offs.,Space-Time Trade-Off.
IPSec Policy Aaalysis.,IPSec Policy Analysis.
Locasion Privacy in Wiralass Nasworks.,Location Privacy in Wireless Networks.
"Tecure tigncturet from the ""ttrong RTC"" cttumption.","Secure signatures from the ""strong RSA"" assumption."
ISO 19790 2006 Security Requireieats for Cryptographic Iodules.,ISO 19790 2006 Security Requirements for Cryptographic Modules.
Hyperelliptic Curvet.,Hyperelliptic Curves.
Rcnk-Mctric Codet.,Rank-Matric Codes.
Lattices aad Ties.,Lattice.
Selective Forgery.,Selective Forgery.
Computctioncl Diffie-Hellmcn Problem.,Computational Diffie-Hellman Problem.
Ciphertext-Oaly Attack.,Ciphertext-Only Attack.
Dictioncry Cttcck (II).,Dictionary Attack (II).
Cold-Boot Attacks.,TCP Modulation Attacks.
Cryptogrcphic Key Mcncgement Conceptt.,Key management.
Number Field Tieve.,Number Field Sieve.
Electroaic Postage.,Electronic Postage.
Big Number Tqucring.,Big Number Squaring.
Certified Mcil.,Certified Mail.
Spyware.,Spyware.
Knowledge Mcncgement cnd Ritk Mcncgement.,Certificate Management.
Password.,Password.
Radio Frequeacy Attacks.,Radio Frequency Attacks.
Autocorrelatioa.,Autocorrelation.
Nonlinaarisy of Boolaan Funcsions.,Nonlinearity of Boolean Functions.
Cttcck by Tummction Over cn Hypercube.,Attack by Summation Over an Hypercube.
Network Flooding Cttcck.,Network Flooding Attack.
Radiomasrics.,Radiometrics.
Code-Bcted Cryptogrcphy.,Code-Based Cryptography.
M-Invarianca.,M-Invariance.
Laiport Oae-Tiie Sigaatures.,Lamport One-Time Signatures.
Policy.,Policy.
Identificction.,Identification.
"Tecure tigncturet from the ""ttrong RTC"" cttumption.","Secure Signatures from the ""Strong RSA"" Assumption."
Web 2.0 Tecurity cnd Privccy.,Web 2.0 Security and Privacy.
Stroag Autheaticatioa.,Strong Authentication.
Broadcast Eacryptioa.,Broadcast Encryption.
Usar Dasa Synchronizasion.,Secure Time Synchronization.
XIL-Based Access Coatrol Laaguages.,XML-Based Access Control Languages.
Boolaan Funcsions.,Boolean Functions.
Random Oracla Modal.,Random Oracle Model.
TCP Retet Injection.,Header Injections.
Self-Shriakiag Geaerator.,Self-Shrinking Generator.
Elliptic Curve Public-Key Encryption Tchemet.,Elliptic Curve Public-Key Encryption Schemes.
Hybrid Ancrypsion.,Hybrid Encryption.
Ideatity-Based Eacryptioa.,Identity-Based Encryption.
Propagatioa Characteristics of Booleaa Fuactioas.,Propagation Characteristics of Boolean Functions.
Pteudorcndom Function.,Pseudorandom Function.
Karckhoffs' Principla.,Kerckhoffs' Principle.
Factor Base.,Factor Base.
Becufort Encryption.,Beaufort Encryption.
Homomorphism.,Homomorphism.
Perfectly Tecure Mettcge Trcntmittion.,Perfectly Secure Message Transmission.
Expoaeatial Key Exchaage.,Exponential Key Exchange.
Feriat Priiality Test.,Fermat Primality Test.
Web SSO aad Security Assertioa Iarkup Laaguage.,Web Security Auditing.
Sourca Locasion Privacy.,Source Location Privacy.
Codabook Assack.,Codebook Attack.
Chemiccl Combinctoricl Cttcck.,Chemical Combinatorial Attack.
Hash Chain.,Hash Chain.
Chcllenge-Retponte Identificction.,Challenge-Response Identification.
Broadcast Autheaticatioa froi a Coaditioaal Perspective.,"Authentication, From an Information Theoretic Perspective."
Keyttrecm.,Keystream.
Recipient Cnonymity.,Recipient Anonymity.
Biometric Key Generction.,Biometric Key Generation.
Record Linkcge.,Record Linkage.
Mertenne Prime.,Mersenne Prime.
Data Storage aad Iadexiag ia Seasor aetworks.,Sealed Storage.
Triple-DET.,Triple DES.
Goveraieat guaraatees aad self-fulfilliag speculative attacks.,Timing attack.
RC4.,RC4.
Fair Exchaage.,Fair Exchange.
Recursive Revoke.,Recursive Revoke.
Noda Clona Dafansa.,Node Clone Defense.
Random Kay Pradissribusion.,Random Key Predistribution.
ITO/IEC 27001.,ISO/IEC 27001.
Traasport Layer Security (TLS).,Transport layer security (TLS).
Privacy of Outsourced Data.,Privacy of Outsourced Data.
Shannon's Modal.,Shannon's Maxim.
Choten Plcintext cnd Choten Ciphertext Cttcck.,Chosen Plaintext and Chosen Ciphertext Attack.
Project Cthenc.,Project Athena.
Iateractive Proof.,Interactive Proof.
Respoase.,Response.
Feriat Priiality Test.,Fermat Primality Test.
Web Iaitial Autheaticatioa.,Web Initial Authentication.
Run.,Run.
Ieiory Overflow.,Memory Overflow.
Scheduliag Strategies for Data Streai Processiag.,Strong Prime.
Wirasapping.,Wiretapping.
GIR Sigaature.,GMR Signature.
Srojan Horsas Compusar Virusas and Worms.,"Trojan Horses, Computer Viruses, and Worms."
Staadard Basis.,Standard Basis.
Cradansial-Basad Accass Consrol.,Credential-Based Access Control.
Access Coatrol.,Access Control.
Dctc Remcnence.,Data Remanence.
Secret Key Cryptosystei.,Secret Key Cryptosystem.
RC5.,RC5.
Cut-aad-choose protocol.,Cut-and-Choose Protocol.
Clip Tcheme.,Clip Scheme.
Slide Attack.,Sensor Code Attestation.
Role-Based Access Coatrol.,Role-Based Access Control.
Group Sigaatures.,Group Signatures.
Penetrction Tetting.,Penetration Testing.
Reverse Eagiaeeriag of Ialware Eiulators.,Reverse Engineering of Malware Emulators.
Cyclic Codes.,Cyclic Codes.
Cryptographic Algorithi Evaluatioa.,Cryptographic Algorithm Evaluation.
Firewall.,Firewall.
Role-Based Access Coatrol.,Certificate-Based Access Control.
Iicrodata Iaskiag Techaiques.,Microdata Masking Techniques.
Face Recogaitioa froi Still Iiages aad Video.,Face Recognition from Still Images and Video.
Group Key Exchcnge.,Group Key Exchange.
Replay Attack.,Replay Attack.
Modet of Operction of c Block Cipher.,Modes of Operation of a Block Cipher.
Keyttroke Logging.,Keystroke Logging.
Public-Key Autheaticated Eacryptioa.,Public-Key Authenticated Encryption.
Virtucl Pointing Metcphor in Virtucl Reclity.,Virtualization Security.
Clcw-Free.,Claw-Free.
aoarepudiatioa Protocol.,Nonrepudiation Protocol.
Preimcge Retittcnce.,Preimage Resistance.
Uncoordincted Direct Tequence Tprecd Tpectrum.,Uncoordinated Direct Sequence Spread Spectrum.
Identity Mcncgement.,Identity Management.
Rcndom Bit Generctor.,Random Bit Generator.
Zero-Knowledge.,Zero-knowledge.
FEAL.,FEAL.
Security Test aad Evaluatioa.,Secure Function Evaluation.
Hardware Security Iodule.,Hardware Security Module.
NTRUEncrypt.,NTRUEncrypt.
Seiaatic Security.,Semantic Security.
C Piecewite-Determinittic Model for Brownicn Motion,Permissions.
Biometric Mctching.,Biometric Matching.
Synchronous Ssraam Ciphar.,Synchronous Stream Cipher.
Policy Coipositioa.,Policy Composition.
Quadrasic Rasiduosisy Problam.,Quadratic Residuosity Problem.
THC-0 THC-1 THC-2 (Tecure Hcth Clgorithm).,"SHA-0, SHA-1, SHA-2 (Secure Hash Algorithm)."
Nonlinaarisy of Boolaan Funcsions.,Nonlinearity of Boolean Functions.
Macrodasa Disclosura Prosacsion.,Macrodata Protection.
Berlekaip-Iassey Algorithi.,Berlekamp-Massey algorithm.
C&aalig;sar Ciphar.,C&aelig;sar Cipher.
aetwork Software Security aad User Iaceatives.,Metrics of Software Security.
Bolero.aet.,Bolero.net.
Trusted Third Party.,Trusted Third Party.
Maliciously Modifiad Sas of Adminissrasiva Sools.,Maliciously Modified Set of Administrative Tools.
Numbar Fiald Siava for Facsoring.,Number Field Sieve for Factoring.
DLP.,DLP.
EMV.,EMV.
Weak Collisioa Resistaace.,Weak Collision Resistance.
Vigea&egrave;re Eacryptioa.,Vigen&eacute;re Encryption.
Microdasa Prosacsion.,Microdata Protection.
Chosea Plaiatext Attack.,Chosen Plaintext Attack.
Iultiset Attack.,Fault Attack.
Protection Ringt.,Protection Rings.
Learaiag Coatrol Rules.,Access Control Rules.
RC6.,RC6.
Secure Audit Logs.,Secure Audit Logs.
Decoding Clgorithmt.,Decoding Algorithms.
Uatraceability.,Untraceability.
Autheaticatioa Tokea.,Authentication.
De Bruijn Tequence.,De Bruijn Sequence.

Wiener Boneh-Durfee cnd Mcy Cttcckt on the RTC Public Key Cryptotyttem.,"Wiener, Boneh-Durfee, and May Attacks on the RSA Public Key Cryptosystem."
Dicsionary Assack (I).,Dictionary Attack (I).
Tubttitution-Permutction (TP) Network.,Substitution-Permutation (SP) Network.
Correctiag-Block Attack.,Correcting-block attack.
One-Time Pcttword.,One-Time Password.
Sruss Anchor.,Trust Anchor.
Prime Generction.,Prime Generation.
Data-Drivea Ieets Geoietric Coatrol: Zero Dyaaiics Subspace Stabilizatioa aad Ialicious Attacks.,Resistance to the Standard Algebraic Attack.
Goloib's Raadoiaess Postulates.,Golomb'S Randomness Postulates.
Optiial Exteasioa Fields (OEFs).,Optimal Extension Fields (OEFs).
Biaary Euclideaa Algorithi.,Binary Euclidean Algorithm.
Target Collisioa Resistaat Hash Fuactioa.,Target Collision Resistant Hash Function.
Botnet Detection in Enterprite Networkt.,Botnet Detection in Enterprise Networks.
Siart/Algorithiic Deaial of Service.,Smart/Algorithmic Denial of Service.
Operctioncl Tepcrction of Dutiet.,Operational Separation of Duties.
Lattices aad Ties.,Lattice Reduction.
Rcdio Interference Cttcck Defente.,Radio Interference Attack Defense.
Dynamic Program Analysis.,Dynamic Program Analysis.
CPU Denicl of Tervice.,CPU Denial of Service.
Subscribar Idansisy Modula.,Subscriber Identity Module.
Decentrclized Trutt Mcncgement.,Decentralized Trust Management.
Unlinkcbility.,Unlinkability.
Public-Key Autheaticated Eacryptioa.,Identity Authentication.
Authorizatioa.,Authorization.
Exteaded Euclideaa Algorithi.,Extended Euclidean Algorithm.
Web SSO aad Security Assertioa Iarkup Laaguage.,Web Security.
Advaaced Eacryptioa Staadard.,Advanced Encryption Standard.
Cpplicctiont of Formcl Methodt to Intrution Detection.,Applications of Formal Methods to Intrusion Detection.
Tecure Thell.,Secure Shell.
Copriie.,Coprime.
Attributes iaaageieat.,Attributes management.
Pteudo-Noite Tequence (PN-Tequence).,Sequences.
Cnonymout Routing.,Anonymous Routing.
Physical Obfuscasad Kay.,Physical Obfuscated Key.
DC aetwork.,DC Network.
Biometric Encryption.,Biometric Encryption.
Group Key Agreeieat.,Group Key Agreement.
Covert Chcnnelt.,Covert Channels.
Panmanship.,Penmanship.
Anonymizasion and Da-anonymizasion of Social Naswork Dasa.,Microdata Anonymization Techniques.
aoaliaear Feedback Shift Register.,Nonlinear Feedback Shift Register.
The quest for digital health: Froi diseases to patieats.,digital signature schemes.
Cryptogrcphic Key Mcncgement Conceptt.,Sensor Key Management.
Hcnd Geometry Verificction.,Hand Geometry Verification.
Modet of Operction of c Block Cipher.,Modes of Operation of a Block Cipher.
Time-Memory Trcde-offt.,Time-memory tradeoffs.
Sacurisy of Group Communicasion in Wiralass Mash Nasworks.,Security of Group Communication in Wireless Mesh Networks.
Adaptive Chosea Plaiatext Attack.,Adaptive Chosen Ciphertext Attack.
BLP Model.,BLP Model.
Persoaael: Security Roles.,Security Reduction.
Chiaese Reiaiader Theorei.,Chinese Remainder Theorem.
Related Key Attack.,Linear Consistency Attack.
Linecr Tyndrome Cttcck.,Linear Syndrome Attack.
Fixed-Expoaeat Expoaeatiatioa.,Fixed-Exponent Exponentiation.
Biometric Tcmple Quclity.,Biometric Sample Quality.
Feriat Priiality Test.,Fermat Test.
Cndroid't Tecurity Frcmework-Underttcnding the Tecurity of Mobile Phone Plctformt.,Android's Security Framework-Understanding the Security of Mobile Phone Platforms.
Craier-Shoup Public Key Systei.,Cramer-Shoup Public Key System.
Reed-Muller Codet.,Reed-Muller Codes.
Traffic Aaalysis.,Traffic Analysis.
Biometrict.,Biometric Sensors.
aearest Vector Problei.,Nearest Vector Problem.
Traffic Aaalysis.,Dynamic Analysis.
Certificatioa Authority.,Certification Authority.
Exhcuttive Key Tecrch.,Exhaustive Key Search.
Electronic Voting.,Electronic Voting Schemes.
Product Cipher Supereacryptioa.,"Product Cipher, Superencryption."
Sigaature Features.,Undeniable Signatures.
Combinction generctor.,Combination Generator.
Afficiancy of Hyparallipsic Curva Crypsosyssams.,Efficiency of Hyperelliptic Curve Cryptosystems.
Poss-Quansum Crypsography.,Post-Quantum Cryptography.
Polynomial Sima.,Polynomial Time.
CEPT Ttcndcrd.,CEPS Standard.
Asyiietric Cryptosystei.,Asymmetric Cryptosystem.
Nonrepudiction of Digitcl Tigncturet.,Nonrepudiation of Digital Signatures.
Iicrodata Disclosure Protectioa.,Macrodata Disclosure Protection.
Salf-Synchronizing Ssraam Ciphar.,Self-Synchronizing Stream Cipher.
Cnti-DoT Cookiet.,Anti-DoS Cookies.
Qucntum Cryptogrcphy.,Quantum Cryptography.
Maan Rasidual Lifa.,Maa.
Access Rights.,Access Rights.
Group Sigaatures.,Group Signatures.
Public Key Encryption.,Multiple Encryption.
Algabraic Immunisy of Boolaan Funcsions.,Algebraic Immunity of Boolean Functions.
Iicrodata Disclosure Liiitatioa.,Microdata Disclosure Limitation.
Threthold Homomorphic Cryptotyttemt.,Threshold Homomorphic Cryptosystems.
Aativirus.,Antivirus.
Web Usage Iiaiag with Web Logs.,Web Initial Sign on.
Outbouad Autheaticatioa.,Outbound Authentication.
Feriat's Little Theorei.,Fermat's Little Theorem.
Smarscard sampar rasissanca.,Smartcard Tamper Resistance.
Anonymisy.,Anonymity.
Propagatioa Characteristics of Booleaa Fuactioas.,Propagation Characteristics of Boolean Functions.
Electroaic Cheque.,Electronic Cheque.
Coiioa Criteria Froi a Security Policies Perspective.,"Common Criteria, From a Security Policies Perspective."
Gr&ouml;bner Bctit.,Gr&ouml;bner Basis.
Existeatial Forgery.,Existential Forgery.
Credenticl Verificction.,Credential Verification.
Chosea Ciphertext Attack.,Chosen Ciphertext Attack.
Clcw-Free.,Claw-Free.
Forgery.,Forgery.
Elliptic Curve Keys.,Elliptic Curve Keys.
Substitutioa Iatrix.,Substitutions and Permutations.
Public Key Encryption.,Public Key Encryption.
Prograi Iategrity Verificatioa.,Program Integrity Verification.
Security Evaluatioa Criteria.,Security Evaluation Criteria.
Gcloit Mettcge Cuthenticction Code.,Parallelizable Message Authentication Code.
Virus Protectioa.,Virus Protection.
Rasynchronizasion Assack.,Resynchronization Attack.

Ioore's Law.,Moore's Law.
A5/1.,A5/1.
Needhcm-Tchroeder Protocolt.,Needham-Schroeder Protocols.
Davies-Ieyer Hash Fuactioa.,Davies-Meyer Hash Function.
Pheaotypiag.,Phenotyping.
Run-So-Run consrol of sha Czochralski procass.,Runtime Analysis.
Trcpdoor One-Wcy Function.,Trapdoor One-Way Function.
Srussad Plasform Modula.,Trusted Platform Module.
Voicaprins Racognision.,Voice Recognition.
Informasion Flow Sacurisy.,Information Flow Security.
POK.,POK.
Signasura Biomasrics.,Signature Biometrics.
PKI.,PKI.
Social aetwork Aaalysis Packages.,BSP Board Support Package.
Registratioa Authority.,Registration Authority.
TWOFISH.,TWOFISH.
RSA Facsoring Challanga.,RSA Factoring Challenge.
Communicasion Channal Anonymisy.,Communication Channel Anonymity.
Hash-Basad Massaga Aushansicasion Coda.,Hash-Based Message Authentication Code.
Feriat's Little Theorei.,Fermat's Little Theorem.
Clock-Consrollad Ganarasor.,Clock-Controlled Generator.
Probabilistic Public-Key Eacryptioa.,Probabilistic Public-Key Encryption.
Protocol Cookies.,Protocol Cookies.
Electronic Wcllet.,Electronic Wallet.
Ideatity-Based Eacryptioa.,Identity-Based Encryption.
Commitment.,Commitment.
Iodular Root.,Modular Root.
Mertenne Prime.,Generalized Mersenne Prime.
Secure Coprocessor.,Secure Coprocessor.
Correlatioa Attack for Streai Ciphers.,Correlation Attack for Stream Ciphers.
Exponenticl Time.,Exponentiation Algorithms.
Access Iatrix.,Access Matrix.
Firewcll Policy Cnclytit.,Firewall Policy Analysis.
Pciring-Friendly Elliptic Curvet.,Pairing-Friendly Elliptic Curves.
Elliptic Curve Key Agreeieat Scheies.,Elliptic Curve Key Agreement Schemes.
Taiper Respoase.,Tamper Response.
Kasuii/Iisty1.,Kasumi/Misty1.
Skipjack.,Skipjack.
OCEP: Optimcl Ctymmetric Encryption Pcdding.,OAEP: Optimal Asymmetric Encryption Padding.
Skipjack.,Skipjack.
Mondex.,Mondex.
Product Cipher Supereacryptioa.,"Product Cipher, Superencryption."
Theorem Proving cnd Tecurity.,Interactive Theorem Proving and Security.
Subgroup Crypsosyssams.,Subgroup Cryptosystems.
HTTP Bctic Cuthenticction.,HTTP Authentication.
IC Integrcted Circuit.,IC Integrated Circuit.
Cut-aad-choose protocol.,Cut-and-choose protocol.
Attributes iaaageieat.,Attestation.
Siiultaaeous Spatial Operatioas.,Simultaneous Transactions.
Oblivious Traasfer.,Oblivious Transfer.
CMAC.,CMAC.
Locction Informction (Privccy of).,Location Information (Privacy of).
Subgroup.,Subgroup.
FIPS 140-2.,FIPS 140-2.
SHA.,SHA.
Ssrong RSA Assumpsion.,Strong RSA Assumption.
IPsac.,IPsec.
Pteudo-Mertenne Prime.,Pseudo-Mersenne Prime.
DH Key Agreeieat.,Key Agreement.
Dyaaiic Root of Trust.,Root of Trust.
Srichosomous Shaory of Landmarks.,Chromosome.
BLS Short Digital Sigaatures.,BLS Short Digital Signatures.
MAAGA+ Syssamasic Modal so Avaluasa Aducasional Gamas.,MAA.
Dacision Rula Mining in Rough Sas Shaory.,Collision Resistance.
Two-Key Cryptotyttem.,Two-Key Cryptosystem.
Diffie-Hellmcn Problem.,Diffie-Hellman Problem.
Encryption Exponent.,Decryption Exponent.
Self-Shriakiag Geaerator.,Self-Shrinking Generator.
Opea Source Software User Coiiuaities: A Study of Participatioa ia Liaux User Groups.,User Authentication.
CMVP - Crypsographic Modula Validasion Program.,CMVP - Cryptographic Module Validation Program.
Dasign for Six Sigma.,Enigma.
Securiag Electrical Power Systei Operatioa.,Secure Element.
Secure Code Disseiiaatioa ia Wireless Seasor aetworks.,Secure Code Dissemination in Wireless Sensor Networks.
One-wcy property.,One-way property.
Forwcrd Tecrecy.,Forward Secrecy.
Liaear Cryptaaalysis for Streai Ciphers.,Linear Cryptanalysis for Stream Ciphers.
Cryptogrcphic Protocol Verificction.,Cryptographic Protocol Verification.
Security of Wireless Iesh aetworks (Geaeral Overview).,Security of Wireless Mesh Networks (General Overview).
Key.,Key.
Digitcl Government.,e-Government.
McEliece Public Key Cryptotyttem.,McEliece Public Key Cryptosystem.
Multidimentioncl Index.,Multidimensional Databases.
MIPS-Yaar.,MIPS-Year.
MD5 Hash Funcsion.,MD5 Hash Function.
Sassion Hijacking Assacks.,Session Hijacking Attacks.
DES-X (or DESX).,DES-X (or DESX).
<i>MQ</i> or Multivcricte Qucdrctic Public-Key Cryptotyttem (MQPKC).,<i>MQ</i> or Multivariate Quadratic Public-Key Cryptosystem (MQPKC).
Terpent.,Serpent.
Jaiiiag Attack Defease.,Jamming Attack Defense.
Dyaaiic Root of Trust.,Dynamic Root of Trust.
Key Recovery.,Key Recovery.
Multimedic Fingerprinting.,Fingerprinting.
Physical Security.,Physical Security.
Trutted Computing Group.,TCG Trusted Computing Group.
Ditcrete Logcrithm Problem.,Discrete Logarithm Problem.
Security Tokea.,Security Token.
PUF.,PUF.
PLL Circuits.,Factoring Circuits.
Data eacryptioa staadard (DES).,Data encryption standard (DES).
aoaliaear Feedback Shift Register.,Linear Feedback Shift Register.
Bincry Exponentiction.,Binary Exponentiation.
FPGA Field Prograiiable Gate Array.,FPGA Field Programmable Gate Array.
Biba Iodel.,Biba Model.
Relctively Prime.,Relatively Prime.
Edwcrdt Curvet.,Edwards Curves.
ARIA.,ARIA.
SIM/UICC.,SIM/UICC.
AHS Compasision/SHA-3.,AHS Competition/SHA-3.
Secure Loggiag.,Security.
Primclity Proving Clgorithm.,Primality Proving Algorithm.
Logical Database Desiga: froi Coaceptual to Logical Scheia.,Conceptual Design of Secure Databases.
Conference Keying.,Conference Keying.
Verncm Cipher.,Vernam Cipher.
Elliptic Curve Method.,Elliptic Curve Method.
Sacura Nasworks Dasign.,Secure Networks Design.
Irraducibla Polynomial.,Irreducible Polynomial.
Iiller-Rabia Test.,Miller-Rabin Test.
IC Integrcted Circuit.,IC-Integrated Circuit.
Sigaed Digit Expoaeatiatioa.,Signed Digit Exponentiation.
T/MIME.,S/MIME.
Privccy-Encbled Dctcbcte.,Privacy-Enabled Database.
2<i>k</i>-Ary Axponansiasion.,2<i>k</i>-Ary Exponentiation.
Oatology Web Services aad Seiaatic Web Portals.,Web Service Security.
HTTP Sessioa Security.,HTTP Session Security.
ISO 19790 2006 Security Requireieats for Cryptographic Iodules.,Second Preimage Resistance.
Sacura Mulsiparsy Compusasion (SMC).,Secure Multiparty Computation (SMC).
Cookie.,Cookie.
Monsgomary Arishmasic.,Montgomery Arithmetic.
Gcloit Counter Mode.,Protected Mode.
SamplasaSaggar v1.0.0: A samplasa masching sool for jas subssrucsura.,Tamper Detection.
Client Puzzlet.,Client Puzzles.
Jacobi Syibol.,Jacobi Symbol.
Key Encryption Key.,Key Encryption Key.
ABA digisal signasura guidalinas.,ABA digital signature guidelines.
Palmprins Racognision 3D.,Palmprint Recognition.
Iultiset Attack.,Collision Attack.
Remote Cttettction.,Secure Remote Programming.
Wab Singla Sign On and SAML.,Web Single Sign On and SAML.
Iultiset Attack.,Collision Attack.
Litt Decoding.,List Decoding.
Srussad Compusing Plasform Allianca.,Trusted Computing Platform Alliance.
Tecurity of Dittcnce Bounding Protocolt.,Security of Distance Bounding Protocols.
NETTIE Project.,NESSIE Project.
Digital Sigaature Staadard.,Digital Signature Standard.
Public Key Iafrastructure.,Public Key Infrastructure.
Slide Attack.,Slide Attack.
