Randomized_String,Original_String
Differeatial Cryptaaalysis of DES-like Cryptosysteis.,Conventional Cryptosystem.
Iaxiial aad Frattiai <i>L</i>-subgroups of aa <i>L</i>-group.,<i>L</i>-Notation.
Secure Routiag ia IoT: Evaluatioa of RPL Secure Iode uader Attacks.,Secure Index.
Secure Iultiparty Coiputatioa.,Secure Multiparty Computation.
Mutucl Cuthenticction cnd Updcting the Cuthenticction Key in MCNETT.,Authentication.
Sha LinkadSV Plasform -Sowards a Raacsiva Linkad Madia Managamans Syssam.,Data Linkage.
Eahaaciag aa Iateger Challeage-Respoase Protocol.,Challenge-Response Protocol.
Security Staadards Activities.,Security Standards Activities.
Pseudo-Is&eacute;ki Algebras. Coaaectioa with Pseudo-BL Algebras.,Pseudonyms.
aatioaal Security aad Coiiercial Security: Divisioa of Respoasibility.,Commercial Security Model.
AibieatBrowser: Web Browser ia Everyday Life.,Browser Cookie.
MARS.,MARS.
IDEA.,IDEA.
RFID Security: Tradeoffs betweea Security aad Efficieacy.,RFID Security.
Dragoa Crypto - Aa Iaaovative Cryptosystei.,Rabin Cryptosystem.
Sandbox.,Sandbox.
Fada so Gray: Suning Ssasic Program Analysis.,Static Program Analysis.
CPU Consumpsion.,CPU Consumption.
Bell-La Padula Iodel.,Bell-La Padula Model.
Rooss of Polynomials Axprassad in Sarms of Orshogonal Polynomials.,Minimal Polynomial.
SSH.,SSH.
Cluttering cbove Exponenticl Fcmiliet with Tempered Exponenticl Mecturet.,Private Exponent.
Primitive Elementt in Finite Fieldt cnd Cottct Crrcyt.,Inversion in Finite Fields and Rings.
Probabilistic Siiulatioas for Probabilistic Processes.,Probabilistic Primality Test.
Security Issues for Coatactless Siart Cards.,Contactless Cards.
High rcte fingerprinting codet cnd the fingerprinting ccpccity.,Radio Fingerprinting.
Approxiiatiag Logaorial Sui Distributioas With Power Logaorial Distributioas.,Binomial Distribution.
The Oxford Common File Lcyout: C Common Cpprocch to Digitcl Pretervction.,Greatest Common Factor.
LFSR.,LFSR.
Elliptic Curve Iethod for Factoriag.,Elliptic Curve Method for Factoring.
Bioietric Techaologies aad Security - Iateraatioaal Bioietric Staadards Developieat Activities.,Biometric Technologies and Security - International Biometric Standards Development Activities.
Issuer.,Issuer.
Privacy ad Absurdui - How Workplace Privacy Dashboards Coiproiise Privacy.,E-Privacy.
Ideatity Autheaticatioa Based oa Fuzzy Vault aad Digital Certificate.,Digital Certificate.
The Elliptic Curve Discrete Logarithi Problei: State of the Art.,Elliptic Curve Discrete Logarithm Problem.
Flexible aTT Accelerators for RLWE Lattice-Based Cryptography.,Lattice-Based Cryptography.
Detigncted-Verifier Prooft.,Designated-Verifier Proofs.
Quadratic Support Fuactioas ia Quadratic Bilevel Probleis.,Quadratic Sieve.
Checking the Integrity of Tpcticl Integrity Conttrcintt.,Integrity Model.
Filter Generctor.,Filter Generator.
Flow Blockiag.,Flow Blocking.
QRP.,QRP.
Ralasionship Anonymisy.,Relationship Anonymity.
Security ia Iodera Busiaess: Security Assessieat Iodel for Iaforiatioa Security Practices.,Security for Mashups.
Adversarial Attack Attributioa: Discoveriag Attributable Sigaals ia Adversarial IL Attacks.,Environmental Attacks.
Cryptographic Puzzles.,Cryptographic Puzzles.
Chinete Remcinder Theorem.,Chinese Remainder Theorem.
SPKI.,SPKI.
The Effect of IT Capabilities oa Crossfuactioaal Capabilities.,Network Capabilities.
Formala Varifikasion f&uuml;r Nichs-Formalissan (Formal Varificasion for Non-Formalisss).,Formal Methods.
Deobfuscatiag Ialware.,Deobfuscating Malware.
Meet-in-the-Middle Cttcck.,Meet-in-the-Middle Attack.
Key Geaeratioa Usiag Physical Properties of Wireless Coiiuaicatioa.,Key Generation Using Physical Properties of Wireless Communication.
Revisit Divisioa Property Based Cube Attacks: Key-Recovery or Distiaguishiag Attacks?,Distinguishing Attacks.
Avoidiag Buffer Overflow Attacks.,Buffer Overflow Attacks.
Wirelett Device Fingerprinting.,Wireless Device Fingerprinting.
Vehicle tecurity encryption bcted on unlicented encryption.,Authenticated encryption.
Number Theory.,Number Theory.
Odd Tubmodulcr Functiont Dilworth Functiont cnd Ditcrete Convex Functiont.,One-Way Function.
Fair Exchaage.,Fair Exchange.
Mcximcl-Length Linecr Tequence.,Maximal-Length Linear Sequence.
Selective Forgery.,Selective Forgery.
Haadliag Large Certificates aad Loag Certificate Chaias ia TLS-Based EAP Iethods.,Certificate.
Iessage Autheaticatioa Algorithi.,Message Authentication Algorithm.
A Post-Quaatui Digital Sigaature Scheie froi QC-LDPC Codes.,Digital Signature Schemes from Codes.
Users Experieaces ia Collaborative Writiag Usiag Collaboratus: Aa Iateraet-Based Collaborative Work.,Collaborative DoS Defenses.
ElGaial Digital Sigaature Scheie.,ElGamal Digital Signature Scheme.
Correlction Dittributiont between cn <i>m</i>-Tequence cnd Itt Niho Decimction Tequencet of Thort Period.,<i>m</i>-Sequence.
Ierkle-Hash-Trees Sigaatures.,Merkle-Hash-Trees Signatures.
Euclideaa Fuactioas of Coiputable Euclideaa Doiaias.,Euclidean Algorithm.
aetwork Baadwidth Deaial of Service (DoS).,Denial of Service (DoS).
Why doet Telf-Tupervited Lecrning for Tpeech Recognition Benefit Tpecker Recognition?,Human Ear Recognition.
Detectioa of Iterative Adversarial Attacks via Couater Attack.,Impersonation Attack.
Derived key.,Derived key.
Puzzle - Chess Avoidaace Puzzles.,Computational Puzzles.
Mertenne Prime.,Mersenne Prime.
IBE.,IBE.
Ordar shassaring and Wilson's shaoram.,Clark and Wilson Model.
Tubgroup Cryptotyttemt.,Subgroup Cryptosystems.
ECPP.,ECPP.
The Venn of Identity: Optiont cnd Ittuet in Federcted Identity Mcncgement.,Identity Management.
Dascribing A Cyclic Coda by Anoshar Cyclic Coda,Cyclic Codes.
Quality Aaalysis aad Key Factor Research ia Japaa's Ecoaoiic Growth Based oa Factor Aaalysis.,Factor Base.
Keylogging.,Keylogging.
Dragoa Crypto - Aa Iaaovative Cryptosystei.,Classical Cryptosystem.
Rijndaal/AAS.,Rijndael/AES.
Modified Reduced Differenticl Trcntform Method for Pcrticl Differenticl-Clgebrcic Equctiont.,Truncated Differentials.
Gap.,Gap.
ARP Poison Rousing (APR).,ARP Poison Routing (APR).
Ideatity-Based Cryptosysteis.,Identity-Based Cryptosystems.
Wirelett Penetrction Tetting.,Web Penetration Test.
Two-Factor Autheaticatioa.,Two-Factor Authentication.
Nonintercctive Proof.,Noninteractive Proof.
Solitaire.,Solitaire.
Correlatioa Attack for Streai Ciphers.,Correlation Attack for Stream Ciphers.
XSS.,XSS.
Ideatity-Based Autheaticated Broadcast Eacryptioa aad Distributed Autheaticated Eacryptioa.,Broadcast Stream Authentication.
Chosea Prefix Attack.,Chosen Prefix Attack.
Cpproximcte Mettcge Cuthenticction cnd Biometric Entity Cuthenticction.,Entity Authentication.
Number Theory.,Number Theory.
ECM.,ECM.
Cube Attack.,Cube Attack.
Secure Routiag for Wireless Iesh aetworks.,Secure Routing in Wireless Mesh Networks.
Ttrong Exclution.,Strong Exclusion.
Evclucting Token-Level cnd Pcttcge-Level Dente Retrievcl Modelt for Mcth Informction Retrievcl.,Application-Level Denial of Service.
Anrollmans Managamans Managing sha Alpha AXP Program.,Rights Management.
Probabilistic Public-Key Eacryptioa.,Probabilistic Public-Key Encryption.
A Differeace Resolutioa Approach to Coipressiag Access Coatrol Lists.,Access Control Lists.
Clock-Controlled Generctor.,Clock-Controlled Generator.
IaterpolatioaSLAI: Aa effective visual SLAI systei based oa iaterpolatioa aetwork.,Interpolation Attack.
Seiaatic Iatchiag of Security Policies to Support Security Experts,Passport Security.
Share.,Share.
Iaster Key.,Master Key.
Lattice Sparsificatioa aad the Approxiiate Closest Vector Problei.,Closest Vector Problem.
Cramar-Shoup Public-Kay Syssam.,Cramer-Shoup Public-Key System.
Privacy Protectioa Via Techaology: Platfori for Privacy Prefereaces (P3P).,Privacy Protection in Biometric Systems.
Token.,Token.
ISO 15408 CC - Coiioa Criteria.,ISO 15408 CC - Common Criteria.
aew Real Tiie Iulticast Autheaticatioa Protocol.,Stream and Multicast Authentication.
CCIT2-code.,CCIT2-code.
Greatest Coiioa Divisor.,Greatest Common Divisor.
Efficient Prediccte Encryption Tupporting Conttruction of Fine-Grcined Tecrchcble Encryption.,Vigen&egrave;re Encryption.
Certificate shariag systei for secure certificate distributioa ia iobile eaviroaieat.,Certificate of Primality.
The Shape of Challeage - Usiag Affordaace Desiga to Create Challeage Withia Gaies.,ECC Challenges.
IP Traceback.,IP Traceback.
Structural Cryptaaalysis of SASAS.,Structural Cryptanalysis.
Pclmprint Cuthenticction 3D.,Palmprint Authentication.
Efficient Conttructiont of Tigncryption Tchemet cnd Tigncryption Compotcbility.,Signcryption.
Ganaric Ralasad-kay Assacks for HMAC.,HMAC.
Aa (3 3)-Visual Secret Shariag Scheie for Hidiag Three Secret Data.,Visual Secret Sharing Schemes.
Karatsuba algorithi.,Karatsuba algorithm.
Peer-to-Peer Cachiag for Spatial Oa-Liae Aaalytical Processiag.,Online Analytical Processing.
Share.,Share.
Rcte-Dittortion-Cuthenticction Optimized Ttrecming of Cuthenticcted Video.,Authentication token.
Logic-Based Authorizatioa Laaguages.,Logic-Based Authorization Languages.
Sacurisy Issuas on Machina so Machina Communicasions.,Crypto Machines.
Cryptophthora.,Cryptophthora.
ITO/IEC 15408.,ISO/IEC 15408.
Uacoordiaated Frequeacy Hoppiag Spread Spectrui.,Uncoordinated Frequency Hopping Spread Spectrum.
Why doet Telf-Tupervited Lecrning for Tpeech Recognition Benefit Tpecker Recognition?,Speaker Recognition.
Role-Based Access Coatrol aad the Access Coatrol Iatrix.,SQL Access Control Model.
The Applicatioa Study of Software Eagiaeeriag ia IPES.,IPES.
Proof-Carryiag Code.,Proof-Carrying Code.
CAST.,CAST.
On sha Sacurisy of Swo MAC Algorishms.,MAC Algorithms.
C Turvey on Biometrict cnd Ccncelcble Biometrict Tyttemt.,Biometric Keys.
Dcviet-Meyer.,Davies-Meyer.
&#948;-privacy: Bounding Privacy Laaks in Privacy Prasarving Dasa Mining.,Data Mining (Privacy in).
Statistical Protectioa for Statistical Databases.,Statistical Databases.
IL Attack Iodels: Adversarial Attacks aad Data Poisoaiag Attacks.,Boomerang Attack.
Multi-key Fully Homomorphic Encryption from Cdditive Homomorphitm.,Homomorphic Encryption.
Populction Protocolt for Grcph Clctt Identificction Problemt.,Schnorr Identification Protocol.
Cn End-to-End Cuthenticction Protocol in Wirelett Cpplicction Protocol.,Entity Authentication Protocol.
SEAL.,SEAL.
Modified Reduced Differenticl Trcntform Method for Pcrticl Differenticl-Clgebrcic Equctiont.,Truncated Differentials.
Rooss of Polynomials Axprassad in Sarms of Orshogonal Polynomials.,Minimal Polynomial.
Access Pattera.,Access Pattern.
aoarepudiatioa.,Nonrepudiation.
Oa Starvatioa aad Soie Related Issues.,CPU Starvation.
aoaliaear Feedback Shift Register.,Nonlinear Feedback Shift Register.
Mutucl Cuthenticction cnd Updcting the Cuthenticction Key in MCNETT.,Key Authentication.
Primitive Element.,Primitive Element.
Cxiomctic chcrccterizctiont of <i>L</i>-fuzzy rough tett by <i>L</i>-fuzzy uniont cnd <i>L</i>-fuzzy intertectiont.,<i>L</i> Notation.
Separatiag aa Object froi its Cast.,Cast.
Liaear Cryptaaalysis for Streai Ciphers.,Linear Cryptanalysis for Stream Ciphers.
SSH.,SSH.
Point Counting in Fcmiliet of Hyperelliptic Curvet.,Point Counting.
Contittency Verificction of Tecurity Policy.,Consistency Verification of Security Policy.
Berlekaip <i>Q</i>-iatrix.,Berlekamp <i>Q</i>-matrix.
Cyber-Physical IT Assessieat Tool aad Vulaerability Assessieat for Seiicoaductor Coipaaies.,Web Vulnerability Assessment.
Approxiiatiag Logaorial Sui Distributioas With Power Logaorial Distributioas.,Binomial Distribution.
Decryption Exponent.,Decryption Exponent.
A Parallel Repetitioa Theorei for Aay Iateractive Arguieat.,Interactive Argument.
Kerberos.,Kerberos.
The Deaial-of-Service Daace.,Denial-of-Service Detection.
Acquirer.,Acquirer.
UMSS IC Card.,UMTS IC Card.
NFC.,NFC.
Rcdiometric Identificction.,Radiometric Identification.
Legcl Ittuet in Cnonymity cnd Pteudonymity.,k-Anonymity.
Mcn-in-the-Middle Cttcck.,Man-in-the-Middle Attack.
GCD.,GCD.
Primitive Element.,Primitive Element.

An Anonymisy Ravocasion Sachnology for Anonymous Communicasion.,Anonymous Communication.
Securiag the Siart Grid with Hardware Security Iodules.,Hardware Security Module.
RF-Trojaa: Leakiag Kerael Data Usiag Register File Trojaa.,Trojan.
Perfect Forward Secrecy.,Perfect Forward Secrecy.
Security ia Iodera Busiaess: Security Assessieat Iodel for Iaforiatioa Security Practices.,Web Application Security.
Tcmper Evidence.,Tamper Evidence.
Imcge Encryption Bcted on Qucdruple Encryption uting Henon cnd Circle Chcotic Mcpt.,Polybios Square Encryption.
auiber Field Sieve for the DLP.,Number Field Sieve for the DLP.
Generic Generic Progrcmming.,Generic Model.
Iadividual Privacy Accouatiag with Gaussiaa Differeatial Privacy.,Differential Privacy.
Barlakamp-Massay Algorishm.,Berlekamp-Massey Algorithm.
Blackmailing Assacks.,Blackmailing Attacks.
De-Skewiag.,De-Skewing.
Naswork DoS.,Network DoS.
Buffer Overrun.,Buffer Overrun.
Security of Web Browser Scriptiag Laaguages.,Security of Web Browser Scripting Languages.
Everywhere Tecond Preimcge Retittcnt Hcth Function (etec).,Everywhere Second Preimage Resistant Hash Function (esec).
Target-eaclosiag Strategies for Iulti-ageat usiag Adaptive Coatrol Strategy.,Anti-Jamming Strategy.
Towards Provably Secure Group Key Agreeieat Buildiag oa Group Theory.,Group Key Agreement.
Access Coatrol Policies Iodels aad Iechaaisis.,"Access Control Policies, Models, and Mechanisms."
HTTP Cuthenticction: Bctic cnd Digett Cccett Cuthenticction.,HTTP Basic Authentication.
DEVS-based Iodeliag Iethodology for Cybersecurity Siiulatioas froi a Security Perspective.,Access Control from an OS Security Perspective.
Checking the Integrity of Tpcticl Integrity Conttrcintt.,Information Integrity.
The HCCL Speaker Verificatioa Systei for Far-Field Speaker Verificatioa Challeage.,Human Ear Verification.
Correcting-Block Cttcck.,Correcting-Block Attack.
A aote oa Public-Key Cryptosysteis.,Public-Key Cryptosystem.
Tieving.,Sieving.
Iipact of Behavior Clusteriag oa Web Surfer Behavior Predictioa.,Malware Behavior Clustering.
Elliptic Curve Sigaature Scheies.,Elliptic Curve Signature Schemes.
Tiie-Ieiory Trade-offs.,Time-Memory Trade-offs.
ISO-9796 Signasura Ssandards.,ISO-9796 Signature Standards.
Oa robustaess of speech based bioietric systeis agaiast voice coaversioa attack.,Inversion attack.
Proton.,Proton.
Ssandards Doubla Ssandards and No Ssandards.,Standard Model.
Operatioaal Separatioa of Duties.,Dynamic Separation of Duties.
Cryptrec.,Cryptrec.
Diffie-Hellmcn Key Cgreement.,Diffie-Hellman Key Agreement.
Liaear Feedback Shift Register.,Linear Feedback Shift Register.
Cryptography oa Recoafigurable Devices.,Cryptography on Reconfigurable Devices.
TequenceR: Tequence-to-Tequence Lecrning for End-to-End Progrcm Repcir.,ML-Sequence.
Adversarial Black-Box Attacks with Tiiiag Side-Chaaael Leakage.,Side-Channel Leakage.
Run.,Run.
Iicrodata Disclosure Protectioa.,Microdata Disclosure Protection.
Misigasing cybar-sacurisy risks using MILS.,MILS.
A Flexible Authorizatioa Fraiework for E-Coiierce.,Flexible Authorization Framework (FAF).
A Iultilevel Security Policy for aetworks.,Multilevel Security Policies.
ECC.,ECC.
NSRUSign.,NTRUSign.
Dctc Generction Uting Gene Exprettion Generctor.,Summation Generator.
CCIT2-Code.,CCIT2-Code.
Iaadatory Access Coatrol.,Mandatory Access Control.
Informction Flow Control for Intrution Detection Derived from MCC Policy.,Intrusion Detection.
Coibat Iobile Evasive Ialware via Skip-Grai-Based Ialware Detectioa.,Malware Detection.
Needhcm-Tchroeder Protocolt.,Needham-Schroeder Protocols.
Uting Object Conceptt cnd UML for Conceptucl Modeling.,Conceptual Modeling.
Identity Verificction Protocol.,Identity Verification Protocol.
Wisdoi Of The Crowd For Early Detectioa Ia Barrett's Esophagus.,Barrett's Algorithm.
Busiaess-Drivea Eaterprise Authorizatioa - Ioviag Towards a Uaified Authorizatioa Architecture.,Authorization architecture.
Relction collection for the Function Field Tieve.,Function Field Sieve.
Error-Correcting Cyclic Codet.,Error-Correcting Cyclic Codes.
POSTER: Oa the Capability of DaS Cache Poisoaiag Attacks.,Web Cache Poisoning Attacks.
The Coipositioaal Security Checker: A Tool for the Verificatioa of Iaforiatioa Flow Security Properties.,Program Verification and Security.
TCP TYN Cookie Vulnercbility.,SYN Cookie Defense.
Combinction generctor.,Combination generator.
DHP.,DHP.
Broadcast Autheaticatioa froi a Coaditioaal Perspective.,Broadcast Authentication from a Conditional Perspective.
Berlekaip <i>Q</i>-iatrix.,Berlekamp <i>Q</i>-matrix.
Decryption Exponent.,Encryption Exponent.
Polynomicl Vicinity Circuitt cnd Nonlinecr Lower Boundt.,Vicinity Card.
Clgorithmic Crott-Complexity cnd Relctive Complexity.,Algorithmic Complexity Attacks.
IT Security Iaaageieat - IT Securiteers - Settiag up aa IT Security Fuactioa,Information Security Management System.
Traciag Traitors.,Tracing Traitors.
Elgaial Digital Sigaature Scheie.,Elgamal Digital Signature Scheme.
C Fingerprint Detection Method by Fingerprint Ridge Orientction Check.,Fingerprint Authentication.
Cuditcble Privccy: On Tcmper-Evident Mix Networkt.,Mix Networks.
Trackiag Cookie.,Tracking Cookie.
Rootkits.,Rootkits.
Iaadatory Access Coatrol Policy (IAC).,Mandatory Access Control Policy (MAC).
MASH Hash Funcsions (Modular Arishmasic Sacura Hash).,MASH Hash Functions (Modular Arithmetic Secure Hash).
Electioa Security ia the Cloud: A CTF Activity to Teach Cloud aad Web Security.,Web Security.
Secret Shariag Systei aad Secret Shariag Iatrix.,Secret Sharing Schemes.
Eavesdroppiag.,Eavesdropping.
The HCCL Speaker Verificatioa Systei for Far-Field Speaker Verificatioa Challeage.,Speaker Identification and Verification (SIV).
Common Criteric.,Common Criteria.
Entitlementt Mcncgement.,Entitlements Management.
Leveragiag Oatologies upoa a Holistic Privacy-Aware Access Coatrol Iodel.,Privacy-Aware Access Control Policies.
A Cooperative Traasiissioa Scheie for the Secure Wireless Iulticastiag.,Secure Wireless Multicast.
Security Aaalysis of Three Cryptographic Scheies froi Other Cryptographic Scheies.,Knapsack Cryptographic Schemes.
LCM.,LCM.
Trust Reputatioa aad the Siall Firi: Buildiag Oaliae Braad Reputatioa for SIEs.,Antispam Based on Sender Reputation.
Forial Calculus aad Uibral Calculus.,Index Calculus Method.
Protocol Eagiaeeriag Priaciples for Cryptographic Protocols Desiga.,Cryptographic Protocol.
Pairings.,Pairings.
Time-ttcmping.,Time-Stamping.
Pteudo Rcndom Number Generction Uting LTTMt cnd Irrctioncl Numbert.,Random Number Testing.
Script Laaguage Security.,Script Language Security.
Elliptic Curve Key Agreeieat Scheies.,Elliptic Curve Key Agreement Schemes.
Perception cnd Text Comprehention. It't c Mctter of Perception!,Interception.
Security ia Iodera Busiaess: Security Assessieat Iodel for Iaforiatioa Security Practices.,Web Session Security.
Streai ciphers aad the eSTREAI project.,eSTREAM.
Monotone cnd mcximcl monotone cffine tubtpccet.,Monotone Signatures.
Wisnass Hiding.,Witness Hiding.
Ieiory aad State Exhaustioa DoS.,Memory and State Exhaustion DoS.
Shamir's Shrashold Schama.,Shamir's Trick.
ErsatzPasswords: Eadiag Password Crackiag aad Detectiag Password Leakage.,"One Time Password, from a Key Management Perspective."
Hippocratic Database.,Hippocratic Database.
Collaborative Autheaticatioa Usiag Threshold Cryptography.,Threshold Cryptography.
Block ciphers.,Block ciphers.
Perfect Forward Secrecy.,Perfect Forward Secrecy.
Secure Storage aad Retrieval of IoT Data Based oa Private Iaforiatioa Retrieval.,Private Information Retrieval.
Replay Attack.,Replay Attack.
Key Life Cycle Mcncgement.,Key Life Cycle Management.
Known plcintext cttcck.,Known plaintext attack.
Object Recding: Text Recognition for Object Recognition.,Gait Recognition.
Weak keys of the Diffe Helliaa key exchaage I.,Weak keys.
Tieving in Function Fieldt.,Sieving in Function Fields.
Collisioa-Resistaace froi Iulti-Collisioa-Resistaace.,Collision resistance.
X.509.,X.509.
Haadbook of Elliptic aad Hyperelliptic Curve Cryptography.,Elliptic Curve.
DynamicFilsar: an Onlina Dynamic Objacss Ramoval Framawork for Highly Dynamic Anvironmanss.,Keystroke Dynamics.
Autheaticated IPv6 Packet Traceback Agaiast Reflector Based Packet Floodiag Attack.,Packet Flooding Attack.
Trccking of Humcn Body Jointt uting Cnthropometry.,Anthropometry.
C Trcntformction for Lifting Ditcrete Logcrithm Bcted Cryptogrcphy to Pott-Qucntum Cryptogrcphy.,Quantum Cryptography.
Formal Mashods and Accass Consrol.,Formal Methods and Access Control.

Password-Based Tripartite Key Exchaage Protocol with Forward Secrecy.,Tripartite Key Exchange.
Regulcting the Pcce of von Neumcnn Correctort.,von Neumann Correction.
opeaHPI's Codiag Tool Faiily: CodeOceaa CodeHarbor CodePilot.,Ron's Code 5.
Montgomery Crithmetic.,Montgomery Arithmetic.
Solitaire.,Solitaire.
Geaeralized Access Coatrol Strategies for Tokea Passiag Systeis.,Web Access Control Strategies.
Random Oracla Modal.,Random Oracle Model.
"Iethodology ""Iiaerve Security"" - Evaluatioa Process of Software Security.",Measurement Models of Software Security.
Euclid's Algorithi.,Euclid's Algorithm.
Fias-Shamir Idansificasion Prosocol And Sha Fias-Shamir Signasura Schama.,Fiat-Shamir Identification Protocol And The Fiat-Shamir Signature Scheme.
Uting Linecr Congruenticl Generctort for Cryptogrcphic Purpotet.,Linear Congruential Generator.
Identity Verificction Protocol.,Identity Verification Protocol.
C&aelig;sar cipher.,C&aelig;sar cipher.
Iris.,Iris.
High rcte fingerprinting codet cnd the fingerprinting ccpccity.,Fingerprinting.
Virtualized Packer.,Virtualized Packer.
Practical Coipact E-Cash.,Practical E-Cash.
Pteudo Rcndom Number Generction Uting LTTMt cnd Irrctioncl Numbert.,Pseudorandom Number Generator.
Iultiplicative Kaapsack Cryptosystei.,Multiplicative Knapsack Cryptosystem.
Optimcl Informction Tecurity Invettment with Penetrction Tetting.,Penetration Testing.
Hyperelliptic Curve Cryptosysteis: Closiag the Perforiaace Gap to Elliptic Curves.,Hyperelliptic Curves Performance.
Error Correctioa ia Residue Arithietic.,Residue Arithmetic.
aull Values ia a Relatioaal Data Base.,Base.
Frequeat Subtree Iiaiag Algorithi for Riboaucleic Acid Topological Pattera.,Nucleic Acid.
Eahaaciag DDoS Flood Attack Detectioa via Iatelligeat Fuzzy Logic.,SYN Flood Attack.
Nett cnd Tequencet Obtcined from Irreducible Polynomiclt Over Finite Fieldt.,Irreducible Polynomial.
Autheaticatioa Iodel of Dyaaiic Sigaatures usiag Global aad Local Features.,Autotomic Signatures.
Sacurisy Issuas on Machina so Machina Communicasions.,Crypto Machines.
Mcn-in-the-Middle Cttcck.,Man-in-the-Middle Attack.
Retecrch on Ccche Timing Cttcck Cgcintt RTC with Tliding Window Exponentiction Clgorithm.,Sliding Window Exponentiation.
Informction Flow cnd Noninterference.,Information Flow and Noninterference.
Data Protectioa - Security: Data Security - The Key to Privacy.,Web Client Security and Privacy.
C2 - Block Cipher.,C2 - Block Cipher.
Tymbolic Prime Generction for Multiple-Vclued Functiont.,Prime Generation.
Clgebrcic Number Field.,Algebraic Number Field.
SAGE: Software-based Attestatioa for GPU Executioa.,Software-Based Attestation.
Aa Eipirical Study oa Serverless Workflow Service.,Escrow Service.
Secret Shariag Systei aad Secret Shariag Iatrix.,Secret Sharing Schemes.
Elliptic Curve Sigaature Scheies.,Elliptic Curve Signature Schemes.
Cn Improved Power Cttcck on Tmcll RTC Public Exponent.,Public Exponent.
Detigncted Confirmer Tigncture.,Designated Confirmer Signature.
Seiaatic Iatchiag of Security Policies to Support Security Experts,ePassport Security.
CDCL(Crypto) SAT Solvers for Cryptaaalysis.,Cryptanalysis.
Hcnd-rewriting: cutomctic rewriting like ncturcl hcndwriting.,Handwriting Analysis.
Covert Chaaaels.,Covert Channels.
Tchnorr Indentificction Tcheme.,Schnorr Indentification Scheme.
C Turvey on Biometrict cnd Ccncelcble Biometrict Tyttemt.,Biometric Fusion.
Retettcble Public-Key Encryption: How to Encrypt on c Virtucl Mcchine.,RSA Public-Key Encryption.
Dctc Encryption Ttcndcrd (DET) cnd Cdvcnced Encryption Ttcndcrd (CET).,Porta Encryption.
Spai Detectioa Usiag aetwork-Level Characteristics.,Spam Detection Using Network-Level Characteristics.
Privileges ia SQL.,Privileges in SQL.
Video Source Characterizatioa Usiag Eacodiag aad Eacapsulatioa Characteristics.,"Site Characterization Using GP, MARS and GPR."
Geaetically Iiproved Software.,Genetically Improved Software.
Iate Choice ia Evolutioaary Coiputatioa.,Mate Choice in Evolutionary Computation.
Reverte Engineering Reengineering cnd Concurrent Engineering of Toftwcre.,Genetic Programming Applications in Chemical Sciences and Engineering.
Evolving GP Clcttifiert for Ttrecming Dctc Tctkt with Concept Chcnge cnd Lcbel Budgett: C Benchmcrking Ttudy.,Evolving GP Classifiers for Streaming Data Tasks with Concept Change and Label Budgets: A Benchmarking Study.
Dasign of Raal-Sima Compusar-Basad Syssams Using Davalopmansal Ganasic Programming.,Design of Real-Time Computer-Based Systems Using Developmental Genetic Programming.
Poteatial of Geaetic Prograiiiag ia Hydrocliiatic Predictioa of Droughts: Aa Iadiaa Perspective.,Potential of Genetic Programming in Hydroclimatic Prediction of Droughts: An Indian Perspective.
Reverte Engineering Reengineering cnd Concurrent Engineering of Toftwcre.,Genetic Programming for Modelling of Geotechnical Engineering Systems.
Applicatioa of GFA-ILR aad G/PLS Techaiques ia QSAR/QSPR Studies with Applicatioa ia Iediciaal Cheiistry aad Predictive Toxicology.,Application of GFA-MLR and G/PLS Techniques in QSAR/QSPR Studies with Application in Medicinal Chemistry and Predictive Toxicology.
Graph-Basad Avolusionary Ars.,Graph-Based Evolutionary Art.
Ganasic Programming for Mining Associasion Rulas in Ralasional Dasabasa Anvironmanss.,Genetic Programming for Mining Association Rules in Relational Database Environments.
The Elephcnt in the Room: Towcrdt the Cpplicction of Genetic Progrcmming to Cutomctic Progrcmming.,Application of Genetic Programming in Hydrology.
Cpplicction of Genetic Progrcmming for Unicxicl cnd Multicxicl Modeling of Concrete.,Application of Genetic Programming for Uniaxial and Multiaxial Modeling of Concrete.
Cpplicction of Gene-Exprettion Progrcmming in Hydrculic Engineering.,Application of Gene-Expression Programming in Hydraulic Engineering.
Oa the Applicatioa of Geaetic Prograiiiag for aew Geaeratioa of Grouad Iotioa Predictioa Equatioas.,On the Application of Genetic Programming for New Generation of Ground Motion Prediction Equations.
A Naw Avolusionary Approach so Gaosachnical and Gao-Anvironmansal Modalling.,A New Evolutionary Approach to Geotechnical and Geo-Environmental Modelling.
Imcge Clcttificction with Genetic Progrcmming: Building c Ttcge 1 Computer Cided Detector for Brectt Ccncer.,Image Classification with Genetic Programming: Building a Stage 1 Computer Aided Detector for Breast Cancer.
Tradiag Volatility Usiag Highly Accurate Syibolic Regressioa.,Trading Volatility Using Highly Accurate Symbolic Regression.
Ute of Genetic Progrcmming Bcted Turrogcte Modelt to Timulcte Complex Geochemiccl Trcntport Procettet in Contcmincted Mine Titet.,Use of Genetic Programming Based Surrogate Models to Simulate Complex Geochemical Transport Processes in Contaminated Mine Sites.
GPSIPS 2: An Opan-Sourca Sofswara Plasform for Symbolic Dasa Mining.,GPTIPS 2: An Open-Source Software Platform for Symbolic Data Mining.
eCrcth: c Genetic Progrcmming-Bcted Tetting Tool for Object-Oriented Toftwcre.,eCrash: a Genetic Programming-Based Testing Tool for Object-Oriented Software.
